,Class,NER
1018,EVENT,美濃福安菸葉輔導站整建工程
1521,EVENT,五二０
475,EVENT,九州熊本強震
1195,EVENT,二零一六新加坡國際食 品展
162,EVENT,二次大戰
406,EVENT,水門案
633,EVENT,幸福家庭、兒童嘉年華會
589,EVENT,普度法會
1476,EVENT,小港沿海六里遷村推動小組
811,GPE,高雄亞洲
1441,GPE,北高
1656,GPE,旗山
241,GPE,德國
1043,GPE,前鎮
1631,GPE,桃園市
1629,GPE, 桃園市
397,GPE,美國
624,GPE,甲仙道
1413,GPE,中芸
1679,GPE,中山
198,GPE,高雄左營
577,GPE,甲仙區
1063,GPE,德國魯爾
1066,GPE,大林蒲遷村
163,GPE,泰國
894,GPE,高市
157,GPE,越南
1717,GPE,草衙
1666,GPE,仁武區
374,GPE,高雄縣市
367,GPE,台北市
1516,GPE,新北市
1517,GPE,雲林縣長
1524,GPE,新北
1535,GPE,北市
638,GPE,彰化縣
1546,GPE,台南縣市
1040,GPE,大林浦
1037,GPE,林園
1031,GPE,高雄市議
1041,GPE,楠梓區
635,GPE,田尾鄉
334,GPE,鳳山
1560,GPE,屏東縣
1563,GPE,屏東
1015,GPE,美濃
660,GPE,彰化縣長
1130,GPE,紅毛港
1000,GPE,美濃區
340,GPE,高雄縣
350,GPE,苓雅區
351,GPE,苗栗縣
271,GPE,高雄市仁武區
1614,GPE,雲林縣
1348,GPE,小港區港
150,GPE,緬甸
1226,GPE,大林
72,GPE,台中
844,GPE,鼓山
66,GPE,九州熊本縣
1727,GPE,小港前鎮
58,GPE,台南市
57,GPE,熊本縣
55,GPE,日本
51,GPE,熊本
1803,GPE,福興宮
1795,GPE,媽祖
1209,GPE,新加坡
34,GPE,高雄
30,GPE,臺北國
26,GPE,臺灣
1160,GPE,鳳山區
1121,GPE,小港區
14,GPE,台南
8,GPE,高雄市
6,GPE,台灣
1852,GPE,民雄
39,GPE,旅德
77,GPE,中華民國
1492,GPE,新港
80,GPE,台北
133,GPE,熊本縣市
119,GPE,日方
1760,GPE,遷村
115,GPE,熊本市
762,GPE,苓雅
1761,GPE,牛寮
764,GPE,亞洲
1309,GPE,臺北市
1745,GPE,南高雄
1081,GPE,大林蒲
561,GPE,甲仙
1089,GPE,紅毛港遷村
1246,GPE,苗栗
469,GPE,蘇炎城
849,GPE,旗津
1527,LAW,財政收支劃分法
1791,LAW,文資法
107,LAW,高雄市壽山動物園認養辦法
1522,LAW,財政收支劃分 法
1145,LOC,濱海二路
1149,LOC,臨海二路
1338,LOC,澄清湖
1478,LOC,舊港
1162,LOC,左營區菁華區
1230,LOC,高雄市小港區海線
1196,LOC,東南亞
1373,LOC,中芸地區
1200,LOC,亞太
1218,LOC,鳳鼻頭地區
634,LOC,彰南地區
1243,LOC,金山銀山
1123,LOC,鳳鼻頭
1344,LOC,仁大工業區
1138,LOC,濱海一路
754,LOC,海峽兩岸區
860,LOC,哈瑪星
858,LOC,鼓山
766,LOC,亞洲新灣區
773,LOC,高雄港
1497,LOC,鳳鼻頭聚落
741,LOC,歐美
775,LOC,成功路
1786,LOC,九如陸橋
843,LOC,西子灣
38,LOC,嘉義 文化園區
837,LOC,鼓山輪渡站
771,LOC,新灣區
817,LOC,高雄港灣
834,LOC,哈瑪星地區
677,LOC,亞洲
578,NORP,道教
79,NORP,台灣
64,NORP,日本人
728,NORP,中資
203,NORP,高雄人
1459,NORP,正港鐵人
49,NORP,日本
720,NORP,中國
927,NORP,高雄市
717,NORP,陸商
718,NORP,台商
1814,NORP,澎湖人
1205,NORP,高雄
251,NORP,日商
1808,NORP,北門人
273,NORP,仁武
1105,ORG,都發局
1114,ORG,市府研考會
1099,ORG,高雄市小港區沿海六里遷村推動小組
824,ORG,都市計畫
822,ORG,台糖公司
820,ORG,高雄市都發局
1106,ORG,經濟部長
1092,ORG,行政院
1127,ORG,台電
1112,ORG,中油
1028,ORG,高雄市政府水利局
1079,ORG,工務局
1022,ORG,水利局
1021,ORG,國有財產署
1020,ORG,客委會
1003,ORG,中央客家委
998,ORG,市政府客委會
993,ORG,客家委員會
987,ORG,市府經發局
979,ORG,財經部門
957,ORG,財政局
946,ORG,中央補
1044,ORG,經濟
1046,ORG,工研院
1048,ORG,楠梓中油廠區
1053,ORG,中油總公司
939,ORG,勞健保補助
1054,ORG,楠梓中油
1057,ORG,楠梓創新研發園區
1061,ORG,楠梓加工區
926,ORG,議會國民黨團
906,ORG,市府水利局
889,ORG,環保局
867,ORG,交通局聯合環保局
1074,ORG,研考會
1083,ORG,經濟部
1013,ORG,福安菸葉輔導站
1,ORG,衛武國家藝術文化中心
1141,ORG,台電公司
1701,ORG,動物保護處
1698,ORG,動保處合約動物醫院
1697,ORG,動保處
1692,ORG,高雄市警局
1688,ORG,都發局長
1683,ORG,體育局
1661,ORG,教育部
1644,ORG,民國
1711,ORG,大魯閣
1640,ORG,中山大學
1613,ORG,法務部
1611,ORG,政大
1599,ORG,國大
1580,ORG,大學法律系系
1578,ORG,美國北卡羅來納州立大學
1576,ORG,大武山文教基金會
1575,ORG,勞委會
1573,ORG,台大公衛
1636,ORG,高雄市水利
1568,ORG,國發會
1721,ORG,高捷公司
1735,ORG,高雄國際航空站
1848,ORG,民雄供油中心
1846,ORG,市府環保局
1841,ORG,豐德
1839,ORG,中油高雄煉油廠
1825,ORG,中油公司
1813,ORG,林議
1810,ORG,文化局
1801,ORG,中都聚落居民宗教信仰中心
1734,ORG,高公局
1796,ORG,民政局
1792,ORG,文資
1788,ORG,文化局文資審議委員會
1779,ORG,市長施政
1778,ORG,遷村辦公室
1776,ORG,遷村策進會
1750,ORG,一卡通
1741,ORG,大魯閣公司
1740,ORG,國工局
1793,ORG,鮫島盛創辦
1131,ORG,都發局局
1567,ORG,勞動部
1561,ORG,經建會
1368,ORG,漁業署
1363,ORG,高雄煉油廠
1349,ORG,財經委員會
1325,ORG, 市政府
1308,ORG,高雄市議員
1304,ORG,高雄黨部
1291,ORG,高市黨部
1290,ORG,高雄市政府經發局
1376,ORG,農委會
1283,ORG,聯想
1220,ORG,小港沿海六里遷村推動小組
1201,ORG,高雄市政府農業局
1187,ORG,東協
1181,ORG,繼承會
1161,ORG, 地政局
1157,ORG,高市府地政局
1154,ORG,地政局
1144,ORG,高雄市政府工務局
1245,ORG,議會財政部門
1562,ORG,勞保局
1385,ORG,高市府海洋局
1411,ORG,農委
1558,ORG,立委
1556,ORG,台南市政府
1555,ORG,勞動部長
1552,ORG,勞委會職訓局
1548,ORG,台大經濟系
1547,ORG,環保署長
1539,ORG,陸委會
1491,ORG,高雄市海洋局
1396,ORG,市府海洋局
1489,ORG,港務公司
1460,ORG,高市府社
1446,ORG,夢想城市發展協會
1439,ORG,台北市政府
1433,ORG,北市府
1432,ORG,台北市政府 民政局
1431,ORG,北市府民政局
812,ORG,高雄市政府地政局
1421,ORG,高雄市政府民政局
1467,ORG,高雄市研考會
1428,ORG,台南市政府民政局
779,ORG,中美嘉吉
802,ORG,百 貨
320,ORG,癌生物學系
319,ORG,陽明公衛所
316,ORG,美國國家衛 生院
315,ORG,哈佛大學公共衛生學院
309,ORG,高醫大
306,ORG,公衛所
292,ORG,明華園戲劇總團
291,ORG,明華園總團
290,ORG,台塑集團
284,ORG,台塑
282,ORG,台塑仁武廠
279,ORG,台塑企業
