,Class,NER
19649,EVENT,南台大地震
47039,EVENT,高雄客家 文化節─客家有囍婚禮
37164,EVENT,高雄世運會
23316,EVENT,幸福年菜呷辦桌
9069,EVENT,桃園燈會
70086,EVENT,青年創業座談會
59754,EVENT,南高屏三縣市南方治水論壇
59787,EVENT,市政會議
23232,EVENT, 一日農夫體驗趣
2912,EVENT,一○五年度南區技職博覽會
37302,EVENT,高雄國際馬拉松
37307,EVENT,大鵬灣
59951,EVENT,杜鵑颱風
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
37403,EVENT,美濃地區戲院風華系列座談
46508,EVENT,馬習會
37449,EVENT,灣利里與喬佑後援會成立大會
46486,EVENT,本元里後援會成立大會
69781,EVENT,亞運會
69771,EVENT,亞奧運
37504,EVENT,仁武競選總部成立大會
16038,EVENT,第二十一屆義工聯合隊慶
59628,EVENT,全國油畫比賽行銷記者會
70274,EVENT,七三一高雄石化氣爆
70298,EVENT,七三一氣爆
9385,EVENT,東沙太陽能光電系統啟用典禮
2403,EVENT,台灣國際扣件展
59091,EVENT,阿根廷世錦賽
59095,EVENT,高雄國際滑輪溜冰場
59119,EVENT,世錦賽
36324,EVENT,第十週年校慶
47355,EVENT,高雄國際 食品展
6065,EVENT,新聞夜總會
15992,EVENT,南台灣強震
70559,EVENT,芋箋傳愛活動
37667,EVENT,愛老婆運動
2530,EVENT,扁案
36743,EVENT,反賄選陣線聯盟
36838,EVENT,軍宅案
36867,EVENT,全國中小學科學展覽會
9238,EVENT,第十一屆會員代表大會
70419,EVENT,高雄地區選戰會報
23448,EVENT,和家盃
59560,EVENT,登革熱防疫
59563,EVENT,小英盃活動
23421,EVENT,二○一六全國第六十屆和家盃排球錦標賽
23418,EVENT,高雄區農業改良場
36725,EVENT,小鎮老戲院的新生命
59077,EVENT,哥倫比亞世界運動會
8799,EVENT,西灣飆浪體驗活動
22960,EVENT,歲末送暖愛心關懷活動
3584,EVENT,臨時案
69208,EVENT,台北國際食品展
46152,EVENT,黃色小鴨展
16534,EVENT,高雄燈會
16549,EVENT,燈會
60732,EVENT,大林~高港三四五ＫＶ線潛盾工程
22672,EVENT,全國教育局長會議
69029,EVENT,漂亮寶貝
60764,EVENT,台電潛盾工程
16695,EVENT,南台灣大地震
16774,EVENT,二○六大地震
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
16796,EVENT,台北燈會
16797,EVENT,南投燈會
22532,EVENT,漯底山國際青年商會
45839,EVENT,台灣遊艇展
38679,EVENT,大阪藝術博覽會
3959,EVENT,頒獎典禮
38687,EVENT,博覽會
3966,EVENT,迎春宴
68719,EVENT,十一國參賽
60483,EVENT,二審
22795,EVENT,聯合發放愛 心園遊會
8539,EVENT,台北旅展
69311,EVENT,後備軍人運 動大會暨國軍人才招募活動
60063,EVENT,台灣國 際水展
60079,EVENT,二○一五南方治水論壇
69654,EVENT,二○一五南區客家美食料理比賽
69649,EVENT,2015南區客家美食料理比賽
22934,EVENT,台灣好玩卡
69559,EVENT,九三大閱兵
69551,EVENT,九三紀念抗戰
69526,EVENT,施政報告
69522,EVENT,九三
3384,EVENT,美麗島事件
69697,EVENT,寒軒VS淮安兩岸名廚交流鑑賞會
69520,EVENT,蔡英文後援會成立大會
22857,EVENT,二二八影展
60281,EVENT,日月光案
60283,EVENT,日月光污染案
22848,EVENT,二二八紀念音樂會
22847,EVENT,二二八紀念 音樂會
69366,EVENT,佛齋僧護國祈福大法會
22844,EVENT,大賽英雄 台灣新生
69334,EVENT,高雄綠豆椪烘焙大賽
8554,EVENT,高雄旅展
22836,EVENT,五月風暴
16402,EVENT,高雄燈會藝術節
45745,EVENT,二○一五國際書展暨蔬食博覽會
15842,EVENT,波灣食品展
70783,EVENT,高雄市客家信仰中心整體風貌改善工程
34678,EVENT,二０一五海峽兩岸道教經典學術研討會
24870,EVENT,運動健身．快樂人生－環山健行趣
10118,EVENT,二０一七年生態交通全球盛典
24699,EVENT,春節送暖歲末關懷活動
10067,EVENT,東京食品展
10053,EVENT,三一一地震
58221,EVENT,高雄市公共腳踏車新裝亮相記者會
34910,EVENT,曹公新圳水系活化親水改造工程
49361,EVENT,五甲關帝廟
49312,EVENT,寶玉里後援會成立大會
24634,EVENT,春節送暖歲末 關懷活動
49255,EVENT,60週年慶
35048,EVENT,高雄藝術博覽會
49043,EVENT,伊甸基金會
24475,EVENT,台灣國際遊艇 展
35125,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
24456,EVENT,台灣國際遊艇展
