,Class,NER
32492,EVENT,斯德哥爾摩症候群
45745,EVENT,二○一五國際書展暨蔬食博覽會
12041,EVENT,法國巴黎食品展
12047,EVENT,德國科隆食品展
12050,EVENT,東京國際食品展
12114,EVENT,五年前三一一東日本大震災
12117,EVENT,促進日台經濟文化交流青年議員會
59951,EVENT,杜鵑颱風
45839,EVENT,台灣遊艇展
20440,EVENT,70週年慶
45726,EVENT,佛陀紀念館書展
75885,EVENT,水域遊憩安全研習營
75872,EVENT,愛FUN極限-水域遊憩活動
20382,EVENT,道教嘉年華會
59787,EVENT,市政會議
59754,EVENT,南高屏三縣市南方治水論壇
2344,EVENT,二次世界大戰
20230,EVENT,九二一大地震
20201,EVENT,桃芝風災
20200,EVENT,海燕颱風
20186,EVENT,高雄七三一石化氣爆
2313,EVENT,全國黨代表大會
20159,EVENT,雅安大地震
45677,EVENT,國際當代海報展
45552,EVENT,亞洲區資格賽
11747,EVENT,大河之舞
2088,EVENT,木蘭聯賽
60079,EVENT,二○一五南方治水論壇
21072,EVENT,星光歡迎會
6041,EVENT,第二屆族語單詞競賽活動
69771,EVENT,亞奧運
21058,EVENT,南橫馬拉松活動
2104,EVENT,大專足球聯賽
11835,EVENT,莫拉克
75992,EVENT,二○一五世界盃巧固球錦標賽
21052,EVENT,南橫馬拉松賽
60063,EVENT,台灣國 際水展
2124,EVENT,木蘭足球聯賽
69781,EVENT,亞運會
76107,EVENT,高雄氣爆案
45388,EVENT,旗山廣福里說明會
20838,EVENT,世界運動大會
45549,EVENT,台灣主場最終戰
20805,EVENT,蘇迪勒颱風
2154,EVENT,木蘭女足聯賽
45078,EVENT,第十屆全國心智障礙者 親子運動大會
20149,EVENT,安祈福大法會
5882,EVENT,大 魯閣草衙道
20063,EVENT,宗教心靈改革 學術研討會
59119,EVENT,世錦賽
19390,EVENT,土壤液化及老舊建物耐震補強協商會議
59095,EVENT,高雄國際滑輪溜冰場
59091,EVENT,阿根廷世錦賽
