,Class,NER
17997,EVENT,全國黨員代表大會
41834,EVENT,台糖公司土地經濟部工作小組第十六次會議
14462,EVENT,李科永紀念圖書館
95438,EVENT,園冶獎
10387,EVENT,高雄捷運
31625,EVENT,宗教聯誼會
31631,EVENT,世界宗教和平大會
110871,EVENT,高雄市第一屆美術展覽會
106427,EVENT,中山大學科技創新論壇
14388,EVENT,林家血案
66212,EVENT,大樓案
55108,EVENT,世運場館
66186,EVENT,高雄建商推案
31790,EVENT,ＰＡＲＴＹ
95397,EVENT,二０一五年建築園冶獎頒獎典禮
55112,EVENT,悠郵躍動全國運動城市郵展」主題郵展
14354,EVENT,高屏地區二二八
86649,EVENT,2015高雄市政府教育局局長盃三對三籃球鬥牛賽
14333,EVENT,高雄市二二八和平紀念活動
55195,EVENT,11腳競速大對決
14315,EVENT,二二八慘案
2912,EVENT,一○五年度南區技職博覽會
14305,EVENT,二二八林宅血案
14292,EVENT,二二八事件
106412,EVENT,台灣盃全國書法比賽得獎作品展
32040,EVENT,清 庄事件
82882,EVENT,快樂FUN暑假活動
10531,EVENT,拉庫斯溪復興橋上游土石防治二 期工程
6422,EVENT,小營養午餐整合研討會
110888,EVENT,台灣光復
30407,EVENT,Formosa雕塑雙年展
14634,EVENT,太陽花學運
54950,EVENT,南橫馬拉松
67176,EVENT,月世界活動
6472,EVENT,仁武嘉年華會
95890,EVENT,五十屆美展
6468,EVENT,仁武學苑兒童肚皮舞
95888,EVENT,全國決賽
67005,EVENT,蓮潭湖畔觀光旅館開發案
110974,EVENT,透天建築景觀決選暨消費者人氣獎評選活動
30724,EVENT,高雄市登革熱疫情
95882,EVENT,三信家商第十二屆廣告設計科教學成果展暨第五十屆三信美展
14582,EVENT,美的總動員－藝術家展覽會
14580,EVENT,高雄哈客嘉年華會
66905,EVENT,中秋老人Ｋ歌大賽暨餐會
95870,EVENT,日本東亞國際公募展
2530,EVENT,扁案
95780,EVENT,北汕二路土地徵收案
104224,EVENT,中央水情會議
31033,EVENT,登革熱防治工作協調會
66592,EVENT,蘇迪勒」颱風
95515,EVENT,捷運綠線工程
14507,EVENT,中華書道學會作品聯展
41971,EVENT,眷村文物展
31386,EVENT,相約澄清湖幸福花園音樂會
110887,EVENT,南部展
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
32057,EVENT,清庄事件
55844,EVENT,81氣爆事件
64874,EVENT,高醫三角戀情情殺命案
10618,EVENT,高雄市市長盃扯鈴 暨民俗體育錦標賽
90777,EVENT,高雄玉荷包啤酒節暨高通通藝術展
41019,EVENT,五輕
13823,EVENT,○二○六地震
3384,EVENT,美麗島事件
94650,EVENT,高雄物產館
83321,EVENT,全國沙灘排球錦標賽
13789,EVENT,印尼峇里島迎賓舞
32988,EVENT,首屆世界盃高爾夫球賽
64693,EVENT,高雄城市商品ＣＡＤ品牌認證標章徵件活動
13784,EVENT,祝福之舞
33016,EVENT,世界盃高爾夫球賽
64632,EVENT,全運會賽
64626,EVENT,英雄齊聚．驚艷高雄
56058,EVENT,高雄市立圖書館總 館
64612,EVENT,一○四全運會
33112,EVENT,十大獻禮大祭典
94536,EVENT,雄興達港全運會鐵人三項熱身賽暨挑戰賽
56066,EVENT,白玉蘿蔔季
56088,EVENT,二○一六客庄十二大節慶
33179,EVENT,登革熱疫情
40892,EVENT,莫拉克颱風災
94531,EVENT,卅三競賽
110707,EVENT,南星計畫遊艇產業園區
6261,EVENT,冠軍爭奪戰
6272,EVENT,治安會報
94767,EVENT,九合一選舉
32084,EVENT,食安風暴
10556,EVENT,太平洋藝術節
