,Class,NER
135270,EVENT,全國圍棋公開賽
74783,EVENT,台灣省比賽
9069,EVENT,桃園燈會
74901,EVENT,高屏觀光推廣會
75133,EVENT,智慧城市x市長論壇
75267,EVENT,市府第十四次登革熱防治工作協調會會議
75400,EVENT,暮光之城
75497,EVENT,澎湖縣海洋雙星聯合治理會議
75564,EVENT,瑪格德堡第二屆歐洲合唱大賽
75566,EVENT,世界合唱大賽
75872,EVENT,愛FUN極限-水域遊憩活動
75885,EVENT,水域遊憩安全研習營
75992,EVENT,二○一五世界盃巧固球錦標賽
76107,EVENT,高雄氣爆案
76329,EVENT,惠州臺灣精品博覽會
76346,EVENT,第二屆惠州臺灣精品博覽會
8799,EVENT,西灣飆浪體驗活動
76675,EVENT,蘇迪勒颱風警報
76864,EVENT,雙城交通論壇
77362,EVENT,國家課程委員會
74721,EVENT,新北市活躍樂齡國際論壇
77501,EVENT,台二十一線
74265,EVENT,彌陀民眾服務社第廿二屆社員大會
74215,EVENT,星星王子打擊樂團
72712,EVENT,蘇迪勒颱風事件
73006,EVENT,太平洋港埠協會
73121,EVENT,九○年全國運動會
73169,EVENT,一○四 年全國運動會
9445,EVENT,二０一七生態交通全球盛典籌備委員會
73465,EVENT,拉阿魯哇族樂舞
73477,EVENT,貝神祭典
73564,EVENT,國際港灣城市研討會
73601,EVENT,百工百業後援會授證大會
9385,EVENT,東沙太陽能光電系統啟用典禮
73667,EVENT,第四十一屆模範父親表揚大會
73807,EVENT,高市府會議
73816,EVENT,馬來西亞旅展
73817,EVENT,馬國旅展
73847,EVENT,馬來西亞國際旅遊展
73913,EVENT,納莉
74073,EVENT,二０一五年國際港灣城市 研討會
9238,EVENT,第十一屆會員代表大會
74183,EVENT,真善美慈善饗宴
74225,EVENT,桃芝颱風
8554,EVENT,高雄旅展
77560,EVENT,九合一
8539,EVENT,台北旅展
7644,EVENT,莫拉克八八風災
81834,EVENT,捷運
81838,EVENT,高雄大閱冰
81899,EVENT,高雄客運
82275,EVENT,十九全代會
82593,EVENT,二○一五胖胖魚ＦＵＮ暑假棒球夏令營
82882,EVENT,快樂FUN暑假活動
83321,EVENT,全國沙灘排球錦標賽
83896,EVENT,鼓山台泥開發案
84230,EVENT,便當會
84536,EVENT,黃蝶祭
84546,EVENT,第二 十屆美濃黃蝶祭
7421,EVENT,全國兒童才藝總決賽
84629,EVENT,黃合金祭祀公業
84696,EVENT,福隆國際沙雕藝術季
84893,EVENT,七一九全代會
84934,EVENT,台灣南社募款餐會
85501,EVENT,世界盃巧固球錦標賽
85712,EVENT,太子極限環台賽
81824,EVENT,高 雄十大冰品票選活動
81821,EVENT,高雄旅遊網升級新開站
81665,EVENT,高雄環狀輕軌捷運
81587,EVENT,愛勇敢音樂會
77788,EVENT,彌陀海岸光廊景觀改善工程
77803,EVENT,義大世界-佛陀紀念館
77928,EVENT,中華民國書學會
78092,EVENT,七三一高雄氣爆
78166,EVENT,甲仙區小林村舊址第二期植樹活動
78307,EVENT,石化氣爆
78806,EVENT,高雄石化大氣爆案
78962,EVENT,七三一氣爆善款解密
79072,EVENT,升降梯安全防護措施研商會議
9560,EVENT,二０一五金屬科技展
79364,EVENT,七三一
79424,EVENT,高雄港都盃全國羽球錦標賽
79478,EVENT,八仙塵爆
79785,EVENT,七三一氣爆事件
80192,EVENT,百愛孫志工環島服務活動
80562,EVENT,在地希望生活節
80839,EVENT,ＨＢＬ高中籃球聯賽
81214,EVENT,國際商工
81377,EVENT,市府第十三次登革熱防治工作 協調會會議
81561,EVENT,大廳音樂會
79406,EVENT,亞太聽障羽球錦標賽
7293,EVENT,三讀會
9592,EVENT,二０一六亞太肝臟醫學研討會
9598,EVENT,第三屆高雄會展論壇
65381,EVENT,大樹祈福深度遊
65479,EVENT,五十五週年慶
65568,EVENT,萬國風情時裝秀
65570,EVENT,第二屆理監事會
66186,EVENT,高雄建商推案
66212,EVENT,大樓案
66592,EVENT,蘇迪勒」颱風
66905,EVENT,中秋老人Ｋ歌大賽暨餐會
67005,EVENT,蓮潭湖畔觀光旅館開發案
10968,EVENT,國際同濟會二○一六亞太年會
10949,EVENT,二○一六國際遊艇展
10897,EVENT,百座世運
67176,EVENT,月世界活動
67345,EVENT,雙港論壇
10802,EVENT,東京奧運
67733,EVENT,東亞青年運動會
10755,EVENT,二Ｏ一六六堆嘉年華活動
10744,EVENT,第五十一屆六堆運動會
10741,EVENT,大武山下的小奧運
65191,EVENT,婉君親善大使LINE相會
10721,EVENT,六堆運動會
11445,EVENT,高雄國際旅展
64693,EVENT,高雄城市商品ＣＡＤ品牌認證標章徵件活動
63681,EVENT,藝術博 覽會
63866,EVENT,小英盃壘球錦標賽
63943,EVENT,高雄金豪會
63993,EVENT,二 零一五高雄港都勞工高峰會
64185,EVENT,蘇迪勒颱
64186,EVENT,蓮花颱風
64209,EVENT,蘇 迪勒颱風
64371,EVENT,新北FUN街頭
64382,EVENT,法國馬賽城街舞大賽
64383,EVENT,Marseille Battle Pro
64395,EVENT,二０一五新北FUN街頭
64404,EVENT,世界總決賽
64440,EVENT,凡那比颱風
64457,EVENT,八仙樂園粉塵爆炸案
64460,EVENT,全國災害救助研討論壇
64466,EVENT,南台灣登革熱疫情
64612,EVENT,一○四全運會
64626,EVENT,英雄齊聚．驚艷高雄
64632,EVENT,全運會賽
64874,EVENT,高醫三角戀情情殺命案
67896,EVENT,抗戰
67921,EVENT,連習會
67946,EVENT,世界盃
69654,EVENT,二○一五南區客家美食料理比賽
69697,EVENT,寒軒VS淮安兩岸名廚交流鑑賞會
69771,EVENT,亞奧運
69781,EVENT,亞運會
70086,EVENT,青年創業座談會
70274,EVENT,七三一高雄石化氣爆
70298,EVENT,七三一氣爆
70419,EVENT,高雄地區選戰會報
10067,EVENT,東京食品展
70559,EVENT,芋箋傳愛活動
10053,EVENT,三一一地震
70783,EVENT,高雄市客家信仰中心整體風貌改善工程
70818,EVENT,高雄市美術展
71277,EVENT,天鵝颱風
71497,EVENT,打狗鐵道故事館
71735,EVENT,二零一五高雄厝立體綠化國際研討會暨成果展
71755,EVENT,第十四屆第一次港都聯合助學相見歡
71797,EVENT,點亮台灣•縣政來開講
9679,EVENT,國民小學運動會
69649,EVENT,2015南區客家美食料理比賽
69559,EVENT,九三大閱兵
69551,EVENT,九三紀念抗戰
69526,EVENT,施政報告
