,Class,NER
6992,EVENT,土銀七十載新春樂舞墨
6468,EVENT,仁武學苑兒童肚皮舞
6472,EVENT,仁武嘉年華會
2344,EVENT,二次世界大戰
2313,EVENT,全國黨代表大會
6546,EVENT,進擊的校園全國漆彈大作戰
6576,EVENT,五二○
2154,EVENT,木蘭女足聯賽
6633,EVENT,二○一六禪淨共修祈福法會
6640,EVENT,台南震災
2124,EVENT,木蘭足球聯賽
2104,EVENT,大專足球聯賽
2088,EVENT,木蘭聯賽
6832,EVENT,大同福樂學堂
6846,EVENT,全國最大漆彈賽事
2403,EVENT,台灣國際扣件展
6861,EVENT,全國漆彈大賽開幕典禮
7421,EVENT,全國兒童才藝總決賽
1521,EVENT,五二０
1476,EVENT,小港沿海六里遷村推動小組
7644,EVENT,莫拉克八八風災
1195,EVENT,二零一六新加坡國際食 品展
1018,EVENT,美濃福安菸葉輔導站整建工程
633,EVENT,幸福家庭、兒童嘉年華會
8539,EVENT,台北旅展
8554,EVENT,高雄旅展
589,EVENT,普度法會
8799,EVENT,西灣飆浪體驗活動
475,EVENT,九州熊本強震
406,EVENT,水門案
9069,EVENT,桃園燈會
7293,EVENT,三讀會
9238,EVENT,第十一屆會員代表大會
6422,EVENT,小營養午餐整合研討會
6349,EVENT,燕巢區社區公車永續經營公聽會
4772,EVENT,小澤征 爾音樂祭
4628,EVENT,一○五年南區技職教育博覽會
4829,EVENT,你愛水 我節水 歡慶兒童節
4840,EVENT,樂活節
4961,EVENT,那瑪夏賞螢
4391,EVENT,台灣第一屆國際海事展
4369,EVENT,高雄國際海事船舶展暨國防工業展
4362,EVENT,第一屆海事展
4353,EVENT,議會藝術走廊
4345,EVENT,千里錦繡─棉紙藝術撕畫展
4342,EVENT,千里錦繡-棉紙藝術撕畫展
5222,EVENT,環境議題車體廣告徵選活動
4200,EVENT,亞太國際教育協會暨教育展
3966,EVENT,迎春宴
2530,EVENT,扁案
3959,EVENT,頒獎典禮
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
3584,EVENT,臨時案
5882,EVENT,大 魯閣草衙道
3384,EVENT,美麗島事件
6041,EVENT,第二屆族語單詞競賽活動
6065,EVENT,新聞夜總會
6069,EVENT,龍潭現金案
6075,EVENT,紅火案
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
2912,EVENT,一○五年度南區技職博覽會
6261,EVENT,冠軍爭奪戰
6272,EVENT,治安會報
6333,EVENT,宋江陣頭大賽
5561,EVENT,跟查理布朗旅行趣
9385,EVENT,東沙太陽能光電系統啟用典禮
4727,EVENT,全國漆彈大作戰第二波戰火
162,EVENT,二次大戰
9592,EVENT,二０一六亞太肝臟醫學研討會
9445,EVENT,二０一七生態交通全球盛典籌備委員會
9560,EVENT,二０一五金屬科技展
9598,EVENT,第三屆高雄會展論壇
6856,GPE,英國
1563,GPE,屏東
1560,GPE,屏東縣
5585,GPE,馬公市
3796,GPE,美高
7442,GPE,中正國
5584,GPE,澎湖縣
7458,GPE,高雄市岡山區程香里
7461,GPE,程香里
7471,GPE,橋頭區
3807,GPE, 灣
3822,GPE,南台
1535,GPE,北市
1524,GPE,新北
1517,GPE,雲林縣長
1516,GPE,新北市
1492,GPE,新港
9443,GPE,哈瑪星社區
3924,GPE,澄清湖
3925,GPE,高雄長
1546,GPE,台南縣市
5647,GPE,地扎根
5668,GPE,城鄉
7510,GPE,修市
7111,GPE,高雄選區
1761,GPE,牛寮
1760,GPE,遷村
3440,GPE,威斯康辛州
1745,GPE,南高雄
7189,GPE,兩岸
1727,GPE,小港前鎮
7204,GPE,高雄市眷村
1717,GPE,草衙
7208,GPE,眷村
7211,GPE,左營自治新村
7243,GPE,左營
7244,GPE,左營眷村
7283,GPE,文化中心
1679,GPE,中山
1666,GPE,仁武區
1656,GPE,旗山
5730,GPE,高雄市林園區
1631,GPE,桃園市
1629,GPE, 桃園市
1614,GPE,雲林縣
5671,GPE,駁二
7376,GPE,高屏
5667,GPE,高縣
1441,GPE,北高
39,GPE,旅德
1413,GPE,中芸
7883,GPE,方德隆
5446,GPE,旗山區鄉
1066,GPE,大林蒲遷村
1063,GPE,德國魯爾
4052,GPE,琉球
7907,GPE,進香團
4055,GPE,札幌
7919,GPE,高雄道
4066,GPE,福岡
7926,GPE,崙豐市區
1043,GPE,前鎮
1041,GPE,楠梓區
1040,GPE,大林浦
1037,GPE,林園
1031,GPE,高雄市議
7936,GPE,台西鄉崙豐
7962,GPE,高雄巿
150,GPE,緬甸
1015,GPE,美濃
1000,GPE,美濃區
5404,GPE,旗山區
8016,GPE,台灣石化
4176,GPE,中山大學
1081,GPE,大林蒲
4039,GPE,東京
1089,GPE,紅毛港遷村
4032,GPE,松本市
7604,GPE,賴清德
34,GPE,高雄
1348,GPE,小港區港
1309,GPE,臺北市
7682,GPE,大陸
7684,GPE,上海
7686,GPE,韓國
7690,GPE,訪美
1246,GPE,苗栗
5486,GPE,三民區
1226,GPE,大林
3432,GPE,旅美
1209,GPE,新加坡
1160,GPE,鳳山區
4025,GPE,大阪
7814,GPE,左營區明德國小
1130,GPE,紅毛港
7820,GPE,海軍眷村
1121,GPE,小港區
7829,GPE,燕巢
7835,GPE,崗山
7842,GPE,南投縣埔里鎮
7844,GPE,岡山
4030,GPE,長野市
4006,GPE,高雄美
3430,GPE,巴拿馬
1795,GPE,媽祖
6993,GPE,臺中市
2950,GPE,臺東
2979,GPE,台南市長
6421,GPE,中洲
80,GPE,台北
6423,GPE,大汕
6424,GPE,佛公國
66,GPE,九州熊本縣
6439,GPE,雙北市
6142,GPE,投縣埔里
6451,GPE,台中市
6099,GPE,越方
2391,GPE,印度
6465,GPE,仁武
2387,GPE,路竹阿蓮
2381,GPE,台灣國
2376,GPE,澳地利
58,GPE,台南市
2366,GPE,日據
2350,GPE,尼泊爾
6485,GPE,南投集集
6493,GPE,埔里地母廟
6503,GPE,嘉義
57,GPE,熊本縣
6408,GPE,旗津國
55,GPE,日本
6403,GPE,旗津區
6145,GPE,埔里
6208,GPE,桃市南崁
6240,GPE,福營
72,GPE,台中
6181,GPE,高市五福
2911,GPE,高雄區
6285,GPE,原東
2788,GPE,中國
2914,GPE,雲林
6315,GPE,內門
2722,GPE,哈瑪星
6322,GPE,順賢宮
2701,GPE,港都
2696,GPE,西班牙
6328,GPE,高雄內門
6180,GPE,五福
2686,GPE,內湖
77,GPE,中華民國
6356,GPE,燕巢區
6179,GPE,新北秀峰
2941,GPE,臺東縣
6381,GPE,瓊林里
6148,GPE,新北福營
6396,GPE,金 山
2473,GPE,台 灣
5294,GPE,鳥松區鳥松里
6051,GPE,臺南市
2273,GPE,中央
2029,GPE,全國
6850,GPE,台灣隊
9402,GPE,南海
133,GPE,熊本縣市
3370,GPE,林肯
6871,GPE,美國隊
3376,GPE,華盛頓
1986,GPE, By 黃福鎮
3389,GPE,堪薩斯市
6885,GPE,日籍
5920,GPE,葉厝里
1963,GPE,東京都
1957,GPE,縣市
3402,GPE,冰島
5880,GPE,高雄前鎮
1852,GPE,民雄
5828,GPE,北京市
6967,GPE,花蓮縣
6977,GPE,高 雄市
3424,GPE,俄羅斯
6984,GPE,宜蘭縣
4717,GPE,壽山國中
1803,GPE,福興宮
3349,GPE,加拿大
6048,GPE,那瑪夏區
6828,GPE,大同國
5935,GPE,太爺里
2268,GPE,北高勞
2260,GPE,獨厚台
2210,GPE,前鎮區
51,GPE,熊本
2178,GPE,高雄市前鎮區
6026,GPE,屏山國
6618,GPE,馬祖
6627,GPE,澎湖
2140,GPE,南台灣
3221,GPE,園冶
6647,GPE,台東
6670,GPE,北市北投
6671,GPE,北投
115,GPE,熊本市
6697,GPE,桃 市南崁
3246,GPE,凱達格蘭基金
2105,GPE,木蘭足球聯賽
5950,GPE,湖內
6745,GPE,苗縣
6747,GPE,投縣埔
6768,GPE,桃市
6796,GPE,南崁
119,GPE,日方
6822,GPE,高雄市市中心
894,GPE,高市
6210,GPE,苗縣通霄
8681,GPE,高雄捷運岡山
4892,GPE,路竹區
4884,GPE,林園區
8886,GPE,鳳森里
5083,GPE,六龜大佛
4883,GPE,鹽埕區
8325,GPE,投縣
4881,GPE,岡山區
4878,GPE,新興區
4876,GPE,大寮區
8919,GPE,龍鳳里
8936,GPE,高雄小港
8968,GPE,賴桑
4553,GPE,茅野市
4559,GPE,長野縣
4903,GPE,前金區
9409,GPE,三民
397,GPE,美國
5138,GPE,高雄市六龜區
9066,GPE,豐原
8,GPE,高雄市
4821,GPE,桃園
374,GPE,高雄縣市
367,GPE,台北市
351,GPE,苗栗縣
350,GPE,苓雅區
340,GPE,高雄縣
6,GPE,台灣
8207,GPE, 雄市
8202,GPE,高雄旗津
334,GPE,鳳山
4854,GPE,左營區
469,GPE,蘇炎城
4912,GPE,大樹區
4517,GPE,肯亞
561,GPE,甲仙
8621,GPE,大寮
5027,GPE,台 南市
577,GPE,甲仙區
8654,GPE,柴山桃源里
4428,GPE,政府
5008,GPE,高雄城
4988,GPE,崇德國
5043,GPE,長野
8665,GPE,鼓山區
9418,GPE,行政區
624,GPE,甲仙道
4423,GPE,金馬
8548,GPE,中國大陸
8546,GPE,六合夜市
157,GPE,越南
8690,GPE,南霸天
660,GPE,彰化縣長
4947,GPE,台北 市
8809,GPE,國立
5069,GPE,阿部
8432,GPE,台獨
163,GPE,泰國
4790,GPE,高雄市龍華
5058,GPE,長野縣茅野市
8463,GPE,高雄市小港區
14,GPE,台南
5050,GPE,台南地震
638,GPE,彰化縣
635,GPE,田尾鄉
8713,GPE,路竹
4964,GPE,左營舊城
4787,GPE,菅谷昭
4443,GPE,都市
4222,GPE,小港
4237,GPE,六里
9301,GPE,八王子市
4768,GPE,大仁
844,GPE,鼓山
9266,GPE,新竹市
4700,GPE,台東縣
9247,GPE,蘇頌
9248,GPE,高雄市茄萣
9250,GPE,菲律賓
4739,GPE,屏東縣中正國中
9251,GPE,台灣台南
26,GPE,臺灣
241,GPE,德國
9261,GPE,汶萊
9259,GPE,嘉義 縣
9252,GPE,新 加坡
9254,GPE,桃園縣
4747,GPE,旭町
9255,GPE,台南市蘇
8082,GPE,高雄市橋頭區
9256,GPE,基隆市
4761,GPE,菅谷眧
4753,GPE,松本
9583,GPE,全球港灣城市
4356,GPE,高雄鳳邑
4783,GPE,鳳西
5150,GPE,銅祭台
762,GPE,苓雅
764,GPE,亞洲
4696,GPE,壽山
9230,GPE,馬來西亞
9236,GPE,印尼
9302,GPE,青森
30,GPE,臺北國
811,GPE,高雄亞洲
4692,GPE,六龜
198,GPE,高雄左營
849,GPE,旗津
4685,GPE,高雄市桃源
9242,GPE,嘉義市
4763,GPE,開成
271,GPE,高雄市仁武區
1791,LAW,文資法
7997,LAW,高雄市既有工業管線管理自 治條例
2515,LAW,高雄市污水下水道使用費徵收辦法
1522,LAW,財政收支劃分 法
2671,LAW,高雄市污水下水道使用管理自治條例
1946,LAW,地方制度法
2748,LAW,憲法
1527,LAW,財政收支劃分法
2205,LAW,高雄市攤販臨時集中場管理自治條例
2385,LAW,台灣國際扣件展
5022,LAW,觀光暨教 育交流合作備忘錄
7336,LAW,台中市產業發展自治條例
5029,LAW,立志中學教育交流案
107,LAW,高雄市壽山動物園認養辦法
8229,LAW,水污法
8660,LAW,水土保持法
2628,LAW,中央修法
7779,LAW,漁會法
7320,LOC,毗 鄰地區
4497,LOC,寶來
6342,LOC,旗山
9398,LOC,東沙
2867,LOC,壽山動物園
4971,LOC,田寮月世界
858,LOC,鼓山
8671,LOC,農十六特區
2681,LOC,一心路
2858,LOC,侏儒河
8648,LOC, 萬壽山
2691,LOC,內湖
6255,LOC,雙園
9393,LOC,東沙島
8655,LOC,柴山桃源里地區
5007,LOC,順遊壽山
8645,LOC,柴山
1786,LOC,九如陸橋
9491,LOC,行政區
6376,LOC,燕巢區
9244,LOC,南亞
5991,LOC,蓮池潭
6463,LOC,仁武地區
9043,LOC,焦山
5999,LOC,環潭
4831,LOC,地球
6678,LOC,新北秀峰
2168,LOC,一德路
2186,LOC,復興路
3140,LOC,南萣橋
3135,LOC,南 萣橋
4666,LOC,旗津鼓山
2332,LOC,柴半山
2338,LOC,高雄柴山
2176,LOC,民權路
8755,LOC,三民區民族社區
2409,LOC,新園農場園區
3289,LOC,高雄壽山動物園
8792,LOC,中正高中
8798,LOC,南臺灣水域
4506,LOC,寶來國中
8808,LOC,中山
9333,LOC,壽昌路
5845,LOC,中山路
6786,LOC,北市雙園
2481,LOC,台灣區域
2351,LOC,南洋
8859,LOC,洲際
5924,LOC,二仁溪
6833,LOC,前金區
6819,LOC,鹽埕區
6802,LOC,新興區
4679,LOC,桃源區
6017,LOC,蓮潭
860,LOC,哈瑪星
1243,LOC,金山銀山
1196,LOC,東南亞
9430,LOC,哈瑪星社區
3999,LOC,西岸
1162,LOC,左營區菁華區
5570,LOC,鳳山地區
1149,LOC,臨海二路
1478,LOC,舊港
1145,LOC,濱海二路
1138,LOC,濱海一路
741,LOC,歐美
1497,LOC,鳳鼻頭聚落
1123,LOC,鳳鼻頭
5149,LOC,銅祭台
1373,LOC,中芸地區
766,LOC,亞洲新灣區
1200,LOC,亞太
7856,LOC,大莊路
5480,LOC,仁武區
1218,LOC,鳳鼻頭地區
5522,LOC,高雄軟體科技園區
5084,LOC,彩虹山宗教園區
1344,LOC,仁大工業區
1338,LOC,澄清湖
6229,LOC,新北福營
38,LOC,嘉義 文化園區
5498,LOC,經貿園區
5492,LOC,八德西路
677,LOC,亞洲
5100,LOC,朝山
5559,LOC,鳳山西站
5129,LOC,六龜區
4442,LOC,台澎地區
1230,LOC,高雄市小港區海線
5484,LOC,仁雄路
8367,LOC,北市北投
771,LOC,新灣區
754,LOC,海峽兩岸區
4401,LOC,金獅湖風景區
4440,LOC,壽山
9574,LOC,五大洲
5268,LOC,南台灣
843,LOC,西子灣
5333,LOC,澄清湖風景區
837,LOC,鼓山輪渡站
5351,LOC,三民區
5380,LOC,旗山太平商場
834,LOC,哈瑪星地區
773,LOC,高雄港
3754,LOC,中正路
3758,LOC,三路
3768,LOC,大順一路
7945,LOC,後勁溪
5529,LOC,新 灣區
4411,LOC,金獅湖風景區園區
817,LOC,高雄港灣
8106,LOC,林北路口
4318,LOC,澄清湖三亭
775,LOC,成功路
634,LOC,彰南地區
7430,LOC,高屏B區
5156,LOC,彩虹山
6459,NORP,仁武老人
4563,NORP,茅野
251,NORP,日商
720,NORP,中國
203,NORP,高雄人
2826,NORP,謝人
6205,NORP,美姍
5449,NORP,旗山籍
927,NORP,高雄市
5155,NORP,財團法人
273,NORP,仁武
717,NORP,陸商
4098,NORP,綠營
79,NORP,台灣
9486,NORP,美濃
718,NORP,台商
6034,NORP,臺灣
7918,NORP,台西
64,NORP,日本人
4263,NORP,大林蒲
728,NORP,中資
7944,NORP,進香團
9036,NORP,道祖
1205,NORP,高雄
7646,NORP,布農
7629,NORP,漢族
4530,NORP,Tarus
4499,NORP,Maigua
1808,NORP,北門人
1814,NORP,澎湖人
4383,NORP,美商
5834,NORP,陸資
1459,NORP,正港鐵人
3802,NORP,台灣人
49,NORP,日本
3545,NORP,南台灣
578,NORP,道教
8853,NORP,小港
3823,NORP,美國人
7617,NORP,布農族
4736,ORG,高市少輔會社
5433,ORG,旗山鎮公所
6147,ORG,南崁高中
5434,ORG,土木技師公會
6204,ORG,高女組
5439,ORG,旗山車站糖鐵故事館
5615,ORG,民族國中木笛團
5772,ORG,咖啡社
5609,ORG,高雄市民族國中木笛團
5773,ORG,特殊教育學校
5191,ORG,六龜大佛
5180,ORG,八０二醫院
5178,ORG,成大
5776,ORG,陸淑美服務處
5432,ORG,高雄市 土木技師公會
5171,ORG,基金會
5602,ORG,民 事
5780,ORG,長怡營造公司
9581,ORG,國際會議中心
5046,ORG,瑞祥高中國中部
4973,ORG,穀物文創樂園
6141,ORG,土城高中
5247,ORG,　統一集團
5784,ORG,黃宋卻基金會
5736,ORG,台船
6116,ORG,中信金紅火案
5721,ORG,小港廠遷廠
4732,ORG,安平國中
5796,ORG,程序委員會
5152,ORG,六龜區公所
5718,ORG,中國大陸廠
5429,ORG,太平商場
5628,ORG,家長會
6169,ORG,丹鳳高中
5283,ORG,高市府水利局
4737,ORG,精忠 育幼院
5741,ORG,國林號公司
5717,ORG,台船公司
9551,ORG,美和中學棒球隊
5297,ORG,工務局養工處
5299,ORG,鳳山養護工程隊
6189,ORG,中華民國壘球協會
5012,ORG,珍芳烏魚子見學工廠
5300,ORG,養工處鳳山養護工程隊
4757,ORG,信州大學附設醫院
5743,ORG,國林號開發股份有限公司
5302,ORG,鳥松里里長
5311,ORG,鳥松區
5740,ORG,越南廠
5669,ORG,市府新聞局
5271,ORG,科工館
5350,ORG,唐心服務協會
5751,ORG,慶 圖金屬公司
5353,ORG,大揚文 教基金會
6191,ORG,埔里高工
5374,ORG,大溝頂自救會
5010,ORG,紅頂穀
4765,ORG,小港醫院
6196,ORG,東山高中
5649,ORG,高督盟
5762,ORG,德泰開發公司
4766,ORG,旭町中學
5424,ORG,旗山區大溝頂
6202,ORG,亞特蘭大奧運中華女壘代表隊
5338,ORG,創世基金會
6178,ORG,高工
6078,ORG,特 偵組
5797,ORG,高雄銀行
4861,ORG,綜 合性老人服務中心
5552,ORG,傑迪斯行銷公司
5921,ORG,市府都發局
4885,ORG,鼓山區周恆功
9593,ORG,中央政府
5990,ORG,台灣基金會
5983,ORG,義診團
5553,ORG,TAG
5997,ORG,海洋科技大學
5075,ORG,高雄市中學
5141,ORG,彩虹山宗教基金會
5566,ORG,傑迪斯整合行銷公司
6013,ORG,海科大
5567,ORG,十鼓擊樂團
9555,ORG,正修科大休閒與運動管理系
4913,ORG,旗山區柯
5967,ORG,高雄市經發局長
5551,ORG,觀光局長
5933,ORG,湖內區公所
5530,ORG,土地開發處
5524,ORG,前鎮區公所
5938,ORG,第六河川局協
5930,ORG,水利署
5509,ORG,東南水泥股份有限公司
5959,ORG,高雄市辦理公司
5943,ORG,內政部營建署
4865,ORG,翠華銀
5080,ORG,長野高校
5923,ORG,營建署
4862,ORG,左營長輩照顧中心
5500,ORG,鎮地政事務所
9591,ORG,茵康會議公司
5947,ORG,高雄市政府都發局
