,Class,NER
59095,EVENT,高雄國際滑輪溜冰場
58685,EVENT,重陽節敬老活動
92189,EVENT,玉荷包啤酒節
92250,EVENT,龍舟嘉年華盛會
92386,EVENT,中華傳統宗教總會成立大會
92443,EVENT,加拿大策展活動
29606,EVENT,2016高雄愛Sharing夢時代跨年晚會
7421,EVENT,全國兒童才藝總決賽
58772,EVENT,大崗山國際青年商會
29720,EVENT,總統選舉
92663,EVENT,吉祥物大賽
58221,EVENT,高雄市公共腳踏車新裝亮相記者會
92871,EVENT,國民黨第四區黨部慶生會
92961,EVENT,錄音帶案
7293,EVENT,三讀會
57847,EVENT,寶來遊客中心
57846,EVENT,南橫比賽
92632,EVENT,紅霞颱風
57817,EVENT,台南登革熱疫情
29068,EVENT,觀光推介會
58830,EVENT,高雄科工館
59560,EVENT,登革熱防疫
59401,EVENT,全運會羽球賽
59119,EVENT,世錦賽
16549,EVENT,燈會
59091,EVENT,阿根廷世錦賽
91380,EVENT,麻里巴農產文化節─
91392,EVENT,跟我一起曬月亮晚會
58823,EVENT,海光美展
91409,EVENT,馬拉松路跑比賽
28960,EVENT,茄萣地區登革熱防治工作慰勞餐會活動
91429,EVENT,麻里巴農產文化節
91589,EVENT,大巨蛋園區防災避難安全研討會
7644,EVENT,莫拉克八八風災
58863,EVENT,高雄青年挺柱後援會成立大會
58835,EVENT,海光美前天展
58833,EVENT,國軍第四十九屆文藝金像獎得獎作品巡迴展
59077,EVENT,哥倫比亞世界運動會
59563,EVENT,小英盃活動
30396,EVENT,二零一五 Formosa雕塑雙年展
57633,EVENT,全代會
94536,EVENT,雄興達港全運會鐵人三項熱身賽暨挑戰賽
6468,EVENT,仁武學苑兒童肚皮舞
31625,EVENT,宗教聯誼會
31631,EVENT,世界宗教和平大會
31790,EVENT,ＰＡＲＴＹ
6422,EVENT,小營養午餐整合研討會
94650,EVENT,高雄物產館
6472,EVENT,仁武嘉年華會
94767,EVENT,九合一選舉
56281,EVENT,Ａ組分區比賽
56276,EVENT,世界大賽
6333,EVENT,宋江陣頭大賽
94896,EVENT,台北大巨蛋議約會議
56257,EVENT,英雄聯盟二○一五世界大賽
6272,EVENT,治安會報
6261,EVENT,冠軍爭奪戰
6349,EVENT,燕巢區社區公車永續經營公聽會
30407,EVENT,Formosa雕塑雙年展
94531,EVENT,卅三競賽
31386,EVENT,相約澄清湖幸福花園音樂會
6992,EVENT,土銀七十載新春樂舞墨
93487,EVENT,高市府四維行政中心中庭
57415,EVENT,台北國際書展
30724,EVENT,高雄市登革熱疫情
57208,EVENT,秋季送暖活動
57084,EVENT,超速交通事宜公聽會
6861,EVENT,全國漆彈大賽開幕典禮
6546,EVENT,進擊的校園全國漆彈大作戰
93812,EVENT,高廠印象之旅水彩畫作聯展
93819,EVENT,戀念煉油廠寫生比賽
6832,EVENT,大同福樂學堂
31033,EVENT,登革熱防治工作協調會
6640,EVENT,台南震災
94039,EVENT,大林蒲遷村案
6633,EVENT,二○一六禪淨共修祈福法會
6576,EVENT,五二○
6846,EVENT,全國最大漆彈賽事
90995,EVENT,反國七自救會
59628,EVENT,全國油畫比賽行銷記者會
28709,EVENT,醫界大聯盟後援會成立大會
88189,EVENT,光州518事件
26726,EVENT,三一八太陽花學運
62095,EVENT,棋琴十七重奏
62041,EVENT,台電大林更新案
61953,EVENT,慶中秋里民聯歡會
61900,EVENT,104年特優暨資深鄰長表揚大會
61816,EVENT,花博
62129,EVENT,棋琴十七重奏 
9679,EVENT,國民小學運動會
9598,EVENT,第三屆高雄會展論壇
9592,EVENT,二０一六亞太肝臟醫學研討會
88510,EVENT,台北國際食品展覽會
88511,EVENT,日本東京食品展
88512,EVENT,中秋海陸生鮮烤肉組
88513,EVENT,布魯塞爾水產品展
9560,EVENT,二０一五金屬科技展
61621,EVENT,神農盃
88522,EVENT,台北食品展
62163,EVENT,二○一五國際生態交通論壇
26559,EVENT,百工百業領袖後援會
25681,EVENT,三一八學運
10387,EVENT,高雄捷運
87792,EVENT,旗津沙灘渡假旅館開發案
62764,EVENT,登革熱夜間防治說明會
87801,EVENT,蓮潭湖畔休閒旅館開發案
25829,EVENT,全國總動員
87940,EVENT,暑期青年職場體驗計畫
88160,EVENT,廿五週年校慶
62625,EVENT,兩岸青年創業峰 會
26324,EVENT,彌陀國中校 舍新建工程
62560,EVENT,兩岸青年創業峰會
10118,EVENT,二０一七年生態交通全球盛典
10067,EVENT,東京食品展
10053,EVENT,三一一地震
62454,EVENT,二○一五校園佼腳者十人十一腳競速大對決
88142,EVENT,亞太大學會議
62582,EVENT,兩岸關係與產業發 展
88536,EVENT,北美水產 品展
61410,EVENT,二戰
61276,EVENT,二○一五高雄水展
60283,EVENT,日月光污染案
60281,EVENT,日月光案
8554,EVENT,高雄旅展
8539,EVENT,台北旅展
90230,EVENT,功德法會
60079,EVENT,二○一五南方治水論壇
28227,EVENT,典範教師公開授課暨入班觀課
60483,EVENT,二審
60063,EVENT,台灣國 際水展
28405,EVENT,高雄市長盃全國美容美髮造型技術競賽
28406,EVENT,台灣高雄市長盃全國美容美髮造型技術競賽大會
59951,EVENT,杜鵑颱風
90742,EVENT,第三屆創意陸上龍舟大賽
59787,EVENT,市政會議
90777,EVENT,高雄玉荷包啤酒節暨高通通藝術展
59754,EVENT,南高屏三縣市南方治水論壇
90401,EVENT,輕軌票價審議委員會
27997,EVENT,世運會
60732,EVENT,大林~高港三四五ＫＶ線潛盾工程
89830,EVENT,高雄捷運輕軌案
88848,EVENT,凡那比
9445,EVENT,二０一七生態交通全球盛典籌備委員會
61265,EVENT,台灣國際 水展
88862,EVENT,九一九凡那比號颱風
88870,EVENT,凡那比」 颱風
9385,EVENT,東沙太陽能光電系統啟用典禮
9238,EVENT,第十一屆會員代表大會
89125,EVENT,亞太地域市長會議
61092,EVENT,琅嶠鷹 季－滿州賞鷹博覽會
89246,EVENT,龍舟活動
89253,EVENT,冠軍盃
9069,EVENT,桃園燈會
89296,EVENT,二○一 五港都雄青鬥陣營
27653,EVENT,第十五次工作會議
89715,EVENT,香港高雄跨國賽
8799,EVENT,西灣飆浪體驗活動
60764,EVENT,台電潛盾工程
56088,EVENT,二○一六客庄十二大節慶
25656,EVENT,立委選戰
56066,EVENT,白玉蘿蔔季
56058,EVENT,高雄市立圖書館總 館
51270,EVENT,世界特殊奧運會閉幕典禮
99900,EVENT,關懷大地潔淨地球
51249,EVENT,春晚
99991,EVENT,阿帕契事件
99997,EVENT,台灣國際金屬科技展
51245,EVENT,兩岸文化藝術饗宴
100005,EVENT,高雄展覽館
99840,EVENT,左營單車快樂遊
100010,EVENT,第五十五屆高雄市中小學科展
51240,EVENT,柏林國際電影節
100030,EVENT,廣達游於藝」校園藝術巡迴展
3959,EVENT,頒獎典禮
100031,EVENT,KIE國際發明展
35629,EVENT,高雄區原住民大 專青年心靈成長交流會
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
51091,EVENT,亞太盃國際纜繩滑水錦標賽
3966,EVENT,迎春宴
35723,EVENT,二零二六亞運
99749,EVENT,二○一五滾水普羅盃全國羽球錦標賽
35489,EVENT,五里後援會造勢大會
35048,EVENT,高雄藝術博覽會
99281,EVENT,二0一五高雄鳳荔文化節活動
4391,EVENT,台灣第一屆國際海事展
35125,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
4369,EVENT,高雄國際海事船舶展暨國防工業展
4362,EVENT,第一屆海事展
4353,EVENT,議會藝術走廊
99733,EVENT,普羅盃全國羽球錦標賽
99368,EVENT,全國攝影比賽得獎作品展
4345,EVENT,千里錦繡─棉紙藝術撕畫展
4342,EVENT,千里錦繡-棉紙藝術撕畫展
35276,EVENT,RUN 氣球路跑
4200,EVENT,亞太國際教育協會暨教育展
99602,EVENT,高雄市兒童獨處現況調查
99613,EVENT,高雄市兒童安全日宣導活動
35465,EVENT,第九屆第二次會員大會
35205,EVENT,二0一五 OPEN！RUN 氣球路跑
99246,EVENT,第三十試場
100245,EVENT,春暉志工頒獎典禮
3584,EVENT,臨時案
101138,EVENT,台北巨蛋案
101298,EVENT,祈雨法會
49607,EVENT,社子島開發案
37164,EVENT,高雄世運會
101575,EVENT,中國國際食品飲料展
101641,EVENT,金鏟子•祝好孕
37302,EVENT,高雄國際馬拉松
2912,EVENT,一○五年度南區技職博覽會
37307,EVENT,大鵬灣
49312,EVENT,寶玉里後援會成立大會
49255,EVENT,60週年慶
37403,EVENT,美濃地區戲院風華系列座談
2530,EVENT,扁案
37449,EVENT,灣利里與喬佑後援會成立大會
102002,EVENT,台北市遠雄巨蛋案
37504,EVENT,仁武競選總部成立大會
49361,EVENT,五甲關帝廟
36202,EVENT,捍衛食安人權-搶救校園營養午餐大作戰
101111,EVENT,台北大巨蛋案
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
100269,EVENT,二零一五義大利世博
36324,EVENT,第十週年校慶
100620,EVENT,　二０一五高雄市旅行公會國際旅展
100655,EVENT,東南亞暨南亞大學校長論壇會議
3384,EVENT,美麗島事件
50397,EVENT,小林平埔夜祭
50392,EVENT,平埔祭典
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
50391,EVENT,阿里關平埔祭典
36725,EVENT,小鎮老戲院的新生命
50378,EVENT,頂荖濃平埔祭典
50373,EVENT,莫拉克颱風
50362,EVENT,潭子底及石螺潭排水檢討案
36743,EVENT,反賄選陣線聯盟
36838,EVENT,軍宅案
36867,EVENT,全國中小學科學展覽會
50384,EVENT,平埔夜祭活動
99232,EVENT,岡山農工第三試場
34910,EVENT,曹公新圳水系活化親水改造工程
52157,EVENT,屏東縣東港鎮登革熱戰役
5882,EVENT,大 魯閣草衙道
55195,EVENT,11腳競速大對決
55112,EVENT,悠郵躍動全國運動城市郵展」主題郵展
55108,EVENT,世運場館
96143,EVENT,興達港遊艇城開發ＢＯＴ案
96149,EVENT,台北大巨蛋ＢＯＴ
96157,EVENT,台北大巨蛋ＢＯＴ爭議
96060,EVENT,亞洲盃
54950,EVENT,南橫馬拉松
96446,EVENT,公共藝術設置計畫案
54855,EVENT,兒童寫生繪畫比賽活動
33016,EVENT,世界盃高爾夫球賽
54631,EVENT,國際女子棒球邀請賽
5561,EVENT,跟查理布朗旅行趣
33112,EVENT,十大獻禮大祭典
33179,EVENT,登革熱疫情
32988,EVENT,首屆世界盃高爾夫球賽
54336,EVENT,半屏湖濕地生態地景藝術揭幕儀式
32683,EVENT,馬雅各來臺一百五十週年紀念特展活動
95890,EVENT,五十屆美展
32057,EVENT,清庄事件
32084,EVENT,食安風暴
95397,EVENT,二０一五年建築園冶獎頒獎典禮
95438,EVENT,園冶獎
6075,EVENT,紅火案
55844,EVENT,81氣爆事件
6069,EVENT,龍潭現金案
32671,EVENT,馬雅各來臺一百五十 週年紀念特展
6065,EVENT,新聞夜總會
6041,EVENT,第二屆族語單詞競賽活動
55554,EVENT,高雄農業故事館
32492,EVENT,斯德哥爾摩症候群
95780,EVENT,北汕二路土地徵收案
95870,EVENT,日本東亞國際公募展
95882,EVENT,三信家商第十二屆廣告設計科教學成果展暨第五十屆三信美展
95888,EVENT,全國決賽
95515,EVENT,捷運綠線工程
33327,EVENT,二○一五宗教生命關懷國際學術研討會
96566,EVENT,順陽古早茶
33336,EVENT,宗教與心靈改革研討會
53114,EVENT,倫敦奧運
53102,EVENT,全運
4772,EVENT,小澤征 爾音樂祭
34307,EVENT,三十週年慶
53090,EVENT,金牌
4727,EVENT,全國漆彈大作戰第二波戰火
53089,EVENT,亞運
53124,EVENT,區運舉重賽
34418,EVENT,宗教生命關懷國際學術研討會
4628,EVENT,一○五年南區技職教育博覽會
98888,EVENT,樂舞青春計畫
52487,EVENT,台南登革熱
52470,EVENT,真愛永恆~銀髮婚頌禮讚
52305,EVENT,國際身心障礙者日
34665,EVENT,SARS
34678,EVENT,二０一五海峽兩岸道教經典學術研討會
52589,EVENT,誠毅紙器工業區
34250,EVENT,高雄市都會南區原住民老 人日間關懷站結業活動
4829,EVENT,你愛水 我節水 歡慶兒童節
4840,EVENT,樂活節
96643,EVENT,一０四年度招商大會
54327,EVENT,第九屆立法委員選舉
54208,EVENT,台客舞決賽
33528,EVENT,美國獨立革命
33534,EVENT,一次世界大戰
33638,EVENT,廟週年慶
97304,EVENT,會員大會
97321,EVENT,夏張會
97327,EVENT,四年期國防總檢討
5222,EVENT,環境議題車體廣告徵選活動
54016,EVENT,二○○九世運
54001,EVENT,全國運動會開幕典禮
53836,EVENT,二 ○○九年世界運動會
53802,EVENT,台北世界大學運動會
33835,EVENT,佛光大佛
53646,EVENT,臺灣海洋產學策進會
4961,EVENT,那瑪夏賞螢
32040,EVENT,清 庄事件
62837,EVENT,高港三四五ＫＶ纜線潛盾工程
87698,EVENT,南海和平倡議
10531,EVENT,拉庫斯溪復興橋上游土石防治二 期工程
70818,EVENT,高雄市美術展
70783,EVENT,高雄市客家信仰中心整體風貌改善工程
19300,EVENT,○二○六震災
19317,EVENT,臺南市○二○六震災罹難者頭七法會
19390,EVENT,土壤液化及老舊建物耐震補強協商會議
80192,EVENT,百愛孫志工環島服務活動
70559,EVENT,芋箋傳愛活動
79785,EVENT,七三一氣爆事件
19499,EVENT,漢神百貨
70419,EVENT,高雄地區選戰會報
19603,EVENT,七三一石化氣爆
19649,EVENT,南台大地震
70298,EVENT,七三一氣爆
70274,EVENT,七三一高雄石化氣爆
19739,EVENT,總統大選
80839,EVENT,ＨＢＬ高中籃球聯賽
80562,EVENT,在地希望生活節
14634,EVENT,太陽花學運
19117,EVENT,旗津踩風二日遊
