,Class,NER
22795,EVENT,聯合發放愛 心園遊會
34250,EVENT,高雄市都會南區原住民老 人日間關懷站結業活動
89125,EVENT,亞太地域市長會議
89246,EVENT,龍舟活動
89253,EVENT,冠軍盃
150951,EVENT,高雄演場會
5561,EVENT,跟查理布朗旅行趣
70559,EVENT,芋箋傳愛活動
150995,EVENT,2014高雄啤酒節
151000,EVENT,美麗島站捷運之心攝影比賽
151010,EVENT,大高雄世界搖滾日演唱會
89296,EVENT,二○一 五港都雄青鬥陣營
70419,EVENT,高雄地區選戰會報
119149,EVENT,廢核大遊行
33835,EVENT,佛光大佛
70298,EVENT,七三一氣爆
70274,EVENT,七三一高雄石化氣爆
151323,EVENT,越戰
119857,EVENT,台北市樂旗舞嘉年華
119868,EVENT,桃園國際管樂節
119870,EVENT,嘉義市國際管樂節
34307,EVENT,三十週年慶
5882,EVENT,大 魯閣草衙道
120790,EVENT,高雄國際遊艇展
88862,EVENT,九一九凡那比號颱風
149599,EVENT,高雄市小組長團結大會
50362,EVENT,潭子底及石螺潭排水檢討案
50373,EVENT,莫拉克颱風
50378,EVENT,頂荖濃平埔祭典
88870,EVENT,凡那比」 颱風
89715,EVENT,香港高雄跨國賽
149789,EVENT,惠急慈善會
50391,EVENT,阿里關平埔祭典
50392,EVENT,平埔祭典
50397,EVENT,小林平埔夜祭
149835,EVENT,關子嶺之戀
34418,EVENT,宗教生命關懷國際學術研討會
120170,EVENT,永浴愛河快樂週
120167,EVENT,舟遊愛河」水域遊憩體驗活動
120165,EVENT,淑女猛男聯誼週
50384,EVENT,平埔夜祭活動
88848,EVENT,凡那比
70086,EVENT,青年創業座談會
51091,EVENT,亞太盃國際纜繩滑水錦標賽
69697,EVENT,寒軒VS淮安兩岸名廚交流鑑賞會
118467,EVENT,幼兒足球錦標賽
118296,EVENT,慶重生
118293,EVENT,七三一石化氣爆事件
69654,EVENT,二○一五南區客家美食料理比賽
69649,EVENT,2015南區客家美食料理比賽
90230,EVENT,功德法會
15628,EVENT,台北國際旅展
15630,EVENT,二○一六高雄國際旅展
69559,EVENT,九三大閱兵
69551,EVENT,九三紀念抗戰
69522,EVENT,九三
69520,EVENT,蔡英文後援會成立大會
4961,EVENT,那瑪夏賞螢
15793,EVENT,疏伐木ＤＩＹ生活傢俱
33336,EVENT,宗教與心靈改革研討會
33327,EVENT,二○一五宗教生命關懷國際學術研討會
15474,EVENT,創新荷蘭行動展
5222,EVENT,環境議題車體廣告徵選活動
69771,EVENT,亞奧運
69781,EVENT,亞運會
33638,EVENT,廟週年慶
118739,EVENT,德國斯圖加特螺絲展
118734,EVENT,二０一五斯圖加特螺絲展
118728,EVENT,二０一五德國司徒加特螺絲展
118721,EVENT,二０一六台灣國際扣件展
118718,EVENT,二０一五科隆牙科展
51240,EVENT,柏林國際電影節
51245,EVENT,兩岸文化藝術饗宴
89830,EVENT,高雄捷運輕軌案
51249,EVENT,春晚
151934,EVENT,高雄輕軌靜態測試典禮
118708,EVENT,德國科隆牙科展
51270,EVENT,世界特殊奧運會閉幕典禮
15407,EVENT,全國油畫比賽
152136,EVENT,八一石化氣爆民間捐款專戶管理委員會
15415,EVENT,美•山城馬拉松比賽
33534,EVENT,一次世界大戰
33528,EVENT,美國獨立革命
118716,EVENT,二０一五德國科隆牙科展
90401,EVENT,輕軌票價審議委員會
149312,EVENT,社區公園音樂會
149259,EVENT,大高雄農漁水利挺菊後援會成立大會
35629,EVENT,高雄區原住民大 專青年心靈成長交流會
6349,EVENT,燕巢區社區公車永續經營公聽會
87792,EVENT,旗津沙灘渡假旅館開發案
122423,EVENT,二○一五高雄燈會藝術節
6333,EVENT,宋江陣頭大賽
122414,EVENT,南方農業論壇
87801,EVENT,蓮潭湖畔休閒旅館開發案
71797,EVENT,點亮台灣•縣政來開講
49255,EVENT,60週年慶
6272,EVENT,治安會報
6261,EVENT,冠軍爭奪戰
71755,EVENT,第十四屆第一次港都聯合助學相見歡
49312,EVENT,寶玉里後援會成立大會
71735,EVENT,二零一五高雄厝立體綠化國際研討會暨成果展
49361,EVENT,五甲關帝廟
122239,EVENT,第十六屆第七次中執會
122117,EVENT,美麗島高事件
87698,EVENT,南海和平倡議
122978,EVENT,台灣燈會
122979,EVENT,台灣慶元宵系列活動
35723,EVENT,二零二六亞運
14634,EVENT,太陽花學運
72206,EVENT,一百零四年高雄市美術展
123639,EVENT,南台灣農業聯合展區
123598,EVENT,２０１５東京國際食品展
36324,EVENT,第十週年校慶
6472,EVENT,仁武嘉年華會
6468,EVENT,仁武學苑兒童肚皮舞
87127,EVENT,盃三對三籃球鬥牛賽
122114,EVENT,三鳳宮政見會
87128,EVENT,三籃球鬥牛賽
123275,EVENT,健康風險評估規劃及範疇說明會
123269,EVENT,南星計畫遊艇產業園區可行性規劃報告
87280,EVENT,田寮奇幻月世界活動
6422,EVENT,小營養午餐整合研討會
36202,EVENT,捍衛食安人權-搶救校園營養午餐大作戰
123039,EVENT,台北燈節
123024,EVENT,元宵民俗嘉年華會─神采飛羊炸寒單系列活動
87407,EVENT,彌陀區漁會
147260,EVENT,ＬＥＤ路燈弊案
149265,EVENT,農漁水利挺菊後援會成立大會
148056,EVENT,翁瑞珠團結大會
87940,EVENT,暑期青年職場體驗計畫
6069,EVENT,龍潭現金案
6065,EVENT,新聞夜總會
121395,EVENT,好萊塢動畫喜劇草地音樂會
34910,EVENT,曹公新圳水系活化親水改造工程
6041,EVENT,第二屆族語單詞競賽活動
149045,EVENT,五甲社區公共設施土地產權說明會
34678,EVENT,二０一五海峽兩岸道教經典學術研討會
34665,EVENT,SARS
88510,EVENT,台北國際食品展覽會
121072,EVENT,南科減振案
88511,EVENT,日本東京食品展
88512,EVENT,中秋海陸生鮮烤肉組
88513,EVENT,布魯塞爾水產品展
70818,EVENT,高雄市美術展
88522,EVENT,台北食品展
88536,EVENT,北美水產 品展
70783,EVENT,高雄市客家信仰中心整體風貌改善工程
6075,EVENT,紅火案
71277,EVENT,天鵝颱風
88189,EVENT,光州518事件
35048,EVENT,高雄藝術博覽會
35465,EVENT,第九屆第二次會員大會
122020,EVENT,馬拉松
121863,EVENT,二○一五永安天文文化節
35276,EVENT,RUN 氣球路跑
35205,EVENT,二0一五 OPEN！RUN 氣球路跑
148325,EVENT,小棋王盃
121747,EVENT,高雄八一氣爆
88142,EVENT,亞太大學會議
35489,EVENT,五里後援會造勢大會
148337,EVENT,師王盃
121658,EVENT,美濃中庄歷史空間徵求命名活動
121566,EVENT,港灣燈會
35125,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
121543,EVENT,東京國際展
121522,EVENT,東京食品展參展
71497,EVENT,打狗鐵道故事館
88160,EVENT,廿五週年校慶
49607,EVENT,社子島開發案
148344,EVENT,全國青少年象棋錦標賽
49043,EVENT,伊甸基金會
152795,EVENT,高雄市澎湖同鄉會一○三年會議
15842,EVENT,波灣食品展
54016,EVENT,二○○九世運
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
92961,EVENT,錄音帶案
114833,EVENT,二○一五漆淋彈雨─全國漆彈大作戰
31386,EVENT,相約澄清湖幸福花園音樂會
155992,EVENT,三民區寶珠溝里活動中心
67345,EVENT,雙港論壇
17351,EVENT,玫瑰花節
17359,EVENT,龍舟競賽
17376,EVENT,全國漆彈大作戰記者會
17410,EVENT,世大運
17432,EVENT,世運
3584,EVENT,臨時案
54208,EVENT,台客舞決賽
31033,EVENT,登革熱防治工作協調會
54327,EVENT,第九屆立法委員選舉
67176,EVENT,月世界活動
54001,EVENT,全國運動會開幕典禮
3959,EVENT,頒獎典禮
3966,EVENT,迎春宴
155735,EVENT,莫拉克重建區孩童攝影集
67952,EVENT,世界奧林匹克西洋棋錦標賽
67946,EVENT,世界盃
67921,EVENT,連習會
67896,EVENT,抗戰
115560,EVENT,大魯閣草衙道計畫
92386,EVENT,中華傳統宗教總會成立大會
53646,EVENT,臺灣海洋產學策進會
92443,EVENT,加拿大策展活動
54336,EVENT,半屏湖濕地生態地景藝術揭幕儀式
31790,EVENT,ＰＡＲＴＹ
31631,EVENT,世界宗教和平大會
115171,EVENT,台日友好城市聯合畫展
31625,EVENT,宗教聯誼會
67733,EVENT,東亞青年運動會
53802,EVENT,台北世界大學運動會
92663,EVENT,吉祥物大賽
53836,EVENT,二 ○○九年世界運動會
92871,EVENT,國民黨第四區黨部慶生會
92632,EVENT,紅霞颱風
68005,EVENT,一○四年體育有功人員表揚典禮
93487,EVENT,高市府四維行政中心中庭
156910,EVENT,大統黑心油事件
54855,EVENT,兒童寫生繪畫比賽活動
94536,EVENT,雄興達港全運會鐵人三項熱身賽暨挑戰賽
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
94650,EVENT,高雄物產館
17997,EVENT,全國黨員代表大會
94767,EVENT,九合一選舉
2912,EVENT,一○五年度南區技職博覽會
29720,EVENT,總統選舉
94896,EVENT,台北大巨蛋議約會議
29606,EVENT,2016高雄愛Sharing夢時代跨年晚會
54950,EVENT,南橫馬拉松
18186,EVENT,大林蒲西南瘋音樂祭
113000,EVENT,遶境
66212,EVENT,大樓案
112979,EVENT,遶境活動
18235,EVENT,Ｏ二Ｏ六台南震災
94531,EVENT,卅三競賽
113602,EVENT,第八公墓案
66592,EVENT,蘇迪勒」颱風
157614,EVENT,四十二案
67005,EVENT,蓮潭湖畔觀光旅館開發案
93812,EVENT,高廠印象之旅水彩畫作聯展
93819,EVENT,戀念煉油廠寫生比賽
30724,EVENT,高雄市登革熱疫情
3384,EVENT,美麗島事件
