,Class,NER
2088,EVENT,木蘭聯賽
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
2124,EVENT,木蘭足球聯賽
633,EVENT,幸福家庭、兒童嘉年華會
2104,EVENT,大專足球聯賽
2344,EVENT,二次世界大戰
2313,EVENT,全國黨代表大會
2154,EVENT,木蘭女足聯賽
162,EVENT,二次大戰
589,EVENT,普度法會
475,EVENT,九州熊本強震
2403,EVENT,台灣國際扣件展
1195,EVENT,二零一六新加坡國際食 品展
1521,EVENT,五二０
406,EVENT,水門案
1476,EVENT,小港沿海六里遷村推動小組
2912,EVENT,一○五年度南區技職博覽會
2530,EVENT,扁案
1018,EVENT,美濃福安菸葉輔導站整建工程
1309,GPE,臺北市
1041,GPE,楠梓區
1043,GPE,前鎮
1040,GPE,大林浦
1037,GPE,林園
2273,GPE,中央
1535,GPE,北市
1524,GPE,新北
1761,GPE,牛寮
397,GPE,美國
2473,GPE,台 灣
1089,GPE,紅毛港遷村
1492,GPE,新港
1081,GPE,大林蒲
1516,GPE,新北市
2391,GPE,印度
334,GPE,鳳山
1066,GPE,大林蒲遷村
1063,GPE,德國魯爾
340,GPE,高雄縣
2387,GPE,路竹阿蓮
350,GPE,苓雅區
351,GPE,苗栗縣
367,GPE,台北市
374,GPE,高雄縣市
2381,GPE,台灣國
2376,GPE,澳地利
1517,GPE,雲林縣長
2268,GPE,北高勞
2350,GPE,尼泊爾
2260,GPE,獨厚台
469,GPE,蘇炎城
2210,GPE,前鎮區
1963,GPE,東京都
1957,GPE,縣市
635,GPE,田尾鄉
638,GPE,彰化縣
849,GPE,旗津
844,GPE,鼓山
1852,GPE,民雄
624,GPE,甲仙道
660,GPE,彰化縣長
1803,GPE,福興宮
1717,GPE,草衙
1795,GPE,媽祖
1727,GPE,小港前鎮
762,GPE,苓雅
764,GPE,亞洲
1745,GPE,南高雄
811,GPE,高雄亞洲
894,GPE,高市
1679,GPE,中山
1986,GPE, By 黃福鎮
1546,GPE,台南縣市
2178,GPE,高雄市前鎮區
1121,GPE,小港區
1015,GPE,美濃
2140,GPE,南台灣
1560,GPE,屏東縣
1000,GPE,美濃區
1563,GPE,屏東
2105,GPE,木蘭足球聯賽
1614,GPE,雲林縣
1629,GPE, 桃園市
1631,GPE,桃園市
2029,GPE,全國
1656,GPE,旗山
561,GPE,甲仙
1666,GPE,仁武區
577,GPE,甲仙區
1031,GPE,高雄市議
1441,GPE,北高
2366,GPE,日據
1760,GPE,遷村
30,GPE,臺北國
2950,GPE,臺東
34,GPE,高雄
198,GPE,高雄左營
1160,GPE,鳳山區
1413,GPE,中芸
163,GPE,泰國
39,GPE,旅德
157,GPE,越南
51,GPE,熊本
150,GPE,緬甸
55,GPE,日本
57,GPE,熊本縣
58,GPE,台南市
66,GPE,九州熊本縣
2911,GPE,高雄區
133,GPE,熊本縣市
2914,GPE,雲林
1246,GPE,苗栗
119,GPE,日方
1209,GPE,新加坡
72,GPE,台中
115,GPE,熊本市
77,GPE,中華民國
2941,GPE,臺東縣
80,GPE,台北
2979,GPE,台南市長
26,GPE,臺灣
3221,GPE,園冶
1226,GPE,大林
6,GPE,台灣
14,GPE,台南
2696,GPE,西班牙
8,GPE,高雄市
2722,GPE,哈瑪星
1348,GPE,小港區港
1130,GPE,紅毛港
2701,GPE,港都
271,GPE,高雄市仁武區
2686,GPE,內湖
3246,GPE,凱達格蘭基金
241,GPE,德國
2788,GPE,中國
2515,LAW,高雄市污水下水道使用費徵收辦法
2205,LAW,高雄市攤販臨時集中場管理自治條例
2628,LAW,中央修法
2671,LAW,高雄市污水下水道使用管理自治條例
107,LAW,高雄市壽山動物園認養辦法
2385,LAW,台灣國際扣件展
1791,LAW,文資法
1522,LAW,財政收支劃分 法
1946,LAW,地方制度法
1527,LAW,財政收支劃分法
2748,LAW,憲法
775,LOC,成功路
1230,LOC,高雄市小港區海線
834,LOC,哈瑪星地區
837,LOC,鼓山輪渡站
843,LOC,西子灣
858,LOC,鼓山
3289,LOC,高雄壽山動物園
773,LOC,高雄港
1243,LOC,金山銀山
771,LOC,新灣區
766,LOC,亞洲新灣區
3135,LOC,南 萣橋
3140,LOC,南萣橋
634,LOC,彰南地區
677,LOC,亞洲
