,Class,NER
22795,EVENT,聯合發放愛 心園遊會
22836,EVENT,五月風暴
12713,EVENT,九二一
10949,EVENT,二○一六國際遊艇展
23232,EVENT, 一日農夫體驗趣
31631,EVENT,世界宗教和平大會
31625,EVENT,宗教聯誼會
32988,EVENT,首屆世界盃高爾夫球賽
41208,EVENT,仁武後援會成立大會
31386,EVENT,相約澄清湖幸福花園音樂會
10897,EVENT,百座世運
33016,EVENT,世界盃高爾夫球賽
6832,EVENT,大同福樂學堂
6640,EVENT,台南震災
22960,EVENT,歲末送暖愛心關懷活動
6633,EVENT,二○一六禪淨共修祈福法會
22934,EVENT,台灣好玩卡
2912,EVENT,一○五年度南區技職博覽會
12674,EVENT,大泉淨水場暨下游輸水工程
22857,EVENT,二二八影展
22848,EVENT,二二八紀念音樂會
22847,EVENT,二二八紀念 音樂會
22844,EVENT,大賽英雄 台灣新生
24634,EVENT,春節送暖歲末 關懷活動
37403,EVENT,美濃地區戲院風華系列座談
14462,EVENT,李科永紀念圖書館
32040,EVENT,清 庄事件
44272,EVENT,夢想天使希望工程
35465,EVENT,第九屆第二次會員大會
18515,EVENT,祈福會
4628,EVENT,一○五年南區技職教育博覽會
35489,EVENT,五里後援會造勢大會
18348,EVENT,九二一震災
36725,EVENT,小鎮老戲院的新生命
18602,EVENT,溫馨感謝卡活動
18312,EVENT,家庭微旅行親子野餐創意秀
28405,EVENT,高雄市長盃全國美容美髮造型技術競賽
28406,EVENT,台灣高雄市長盃全國美容美髮造型技術競賽大會
2104,EVENT,大專足球聯賽
9679,EVENT,國民小學運動會
44394,EVENT,ＳＡＲＳ疫情
18235,EVENT,Ｏ二Ｏ六台南震災
44420,EVENT,高雄客家文化節─田園音樂節活動
44325,EVENT,世界盃亞洲區資格賽
15407,EVENT,全國油畫比賽
5222,EVENT,環境議題車體廣告徵選活動
4840,EVENT,樂活節
19008,EVENT,高雄嘉年華
19002,EVENT,大立百貨
18983,EVENT,新住民慶元宵聯誼座談會
15992,EVENT,南台灣強震
18765,EVENT,二○一六新春文化饗宴
35205,EVENT,二0一五 OPEN！RUN 氣球路跑
18708,EVENT,莫拉克風災
37164,EVENT,高雄世運會
28227,EVENT,典範教師公開授課暨入班觀課
36202,EVENT,捍衛食安人權-搶救校園營養午餐大作戰
27997,EVENT,世運會
4829,EVENT,你愛水 我節水 歡慶兒童節
44167,EVENT,二讀會
18700,EVENT,九二一地震
18689,EVENT,○二○六震災優先處置事項研商會議
35276,EVENT,RUN 氣球路跑
16402,EVENT,高雄燈會藝術節
15415,EVENT,美•山城馬拉松比賽
9385,EVENT,東沙太陽能光電系統啟用典禮
40311,EVENT,蘇迪樂颱風
15838,EVENT,波灣國際食品展
15842,EVENT,波灣食品展
28709,EVENT,醫界大聯盟後援會成立大會
17410,EVENT,世大運
17432,EVENT,世運
162,EVENT,二次大戰
9445,EVENT,二０一七生態交通全球盛典籌備委員會
4961,EVENT,那瑪夏賞螢
17842,EVENT,全運會
2154,EVENT,木蘭女足聯賽
17772,EVENT,中央災害防救會報第三十三次會議
27653,EVENT,第十五次工作會議
35723,EVENT,二零二六亞運
17731,EVENT,二 ○○九世界運動會
17574,EVENT,登革熱疫治會議
16038,EVENT,第二十一屆義工聯合隊慶
17789,EVENT,行政院災害防救專家諮詢委員會
17376,EVENT,全國漆彈大作戰記者會
36838,EVENT,軍宅案
15793,EVENT,疏伐木ＤＩＹ生活傢俱
36743,EVENT,反賄選陣線聯盟
15474,EVENT,創新荷蘭行動展
17351,EVENT,玫瑰花節
9598,EVENT,第三屆高雄會展論壇
18186,EVENT,大林蒲西南瘋音樂祭
9592,EVENT,二０一六亞太肝臟醫學研討會
2124,EVENT,木蘭足球聯賽
17359,EVENT,龍舟競賽
44877,EVENT,國光石化運動
2403,EVENT,台灣國際扣件展
35629,EVENT,高雄區原住民大 專青年心靈成長交流會
15628,EVENT,台北國際旅展
15630,EVENT,二○一六高雄國際旅展
9560,EVENT,二０一五金屬科技展
36867,EVENT,全國中小學科學展覽會
8799,EVENT,西灣飆浪體驗活動
17997,EVENT,全國黨員代表大會
35125,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
8554,EVENT,高雄旅展
28960,EVENT,茄萣地區登革熱防治工作慰勞餐會活動
44968,EVENT,仁武區北屋排水整治工程
20024,EVENT,院會
10118,EVENT,二０一七年生態交通全球盛典
4342,EVENT,千里錦繡-棉紙藝術撕畫展
4345,EVENT,千里錦繡─棉紙藝術撕畫展
475,EVENT,九州熊本強震
16695,EVENT,南台灣大地震
19856,EVENT,國際溜冰館
20045,EVENT,道教國際學術研討會
10067,EVENT,東京食品展
10053,EVENT,三一一地震
4353,EVENT,議會藝術走廊
19649,EVENT,南台大地震
19603,EVENT,七三一石化氣爆
26726,EVENT,三一八太陽花學運
2088,EVENT,木蘭聯賽
19499,EVENT,漢神百貨
19739,EVENT,總統大選
4362,EVENT,第一屆海事展
20047,EVENT,二０一五宗教生命關懷國際學術研討會
20063,EVENT,宗教心靈改革 學術研討會
36324,EVENT,第十週年校慶
4200,EVENT,亞太國際教育協會暨教育展
16797,EVENT,南投燈會
16796,EVENT,台北燈會
4727,EVENT,全國漆彈大作戰第二波戰火
20230,EVENT,九二一大地震
34418,EVENT,宗教生命關懷國際學術研討會
26559,EVENT,百工百業領袖後援會
20201,EVENT,桃芝風災
20186,EVENT,高雄七三一石化氣爆
20159,EVENT,雅安大地震
39791,EVENT,屏東四重溪溫泉季
16774,EVENT,二○六大地震
20149,EVENT,安祈福大法會
2530,EVENT,扁案
39799,EVENT,當代藝術特展
20200,EVENT,海燕颱風
5561,EVENT,跟查理布朗旅行趣
40522,EVENT,捍衛食安人權─搶救校園營養午餐大 作戰
34910,EVENT,曹公新圳水系活化親水改造工程
29068,EVENT,觀光推介會
8539,EVENT,台北旅展
19390,EVENT,土壤液化及老舊建物耐震補強協商會議
16549,EVENT,燈會
4391,EVENT,台灣第一屆國際海事展
16534,EVENT,高雄燈會
39856,EVENT,國際身心障礙者日主軸活動
40437,EVENT,動物也瘋狂─二手玩具交換市集暨分享童樂會
19117,EVENT,旗津踩風二日遊
19116,EVENT,幸福萬人提燈大遊行
35048,EVENT,高雄藝術博覽會
2344,EVENT,二次世界大戰
4772,EVENT,小澤征 爾音樂祭
9069,EVENT,桃園燈會
40433,EVENT,動物也瘋狂─二手玩具 交換市集暨分享童樂會
40077,EVENT,徐生明盃全國少棒錦標賽
17728,EVENT,二○一七世大運
37307,EVENT,大鵬灣
34678,EVENT,二０一五海峽兩岸道教經典學術研討會
406,EVENT,水門案
4369,EVENT,高雄國際海事船舶展暨國防工業展
37302,EVENT,高雄國際馬拉松
34665,EVENT,SARS
19300,EVENT,○二○六震災
19317,EVENT,臺南市○二○六震災罹難者頭七法會
31966,GPE,大高雄市
7471,GPE,橋頭區
7458,GPE,高雄市岡山區程香里
28120,GPE,達麗
7461,GPE,程香里
8968,GPE,賴桑
32028,GPE,三德里
9066,GPE,豐原
28226,GPE,福山國中
8936,GPE,高雄小港
8886,GPE,鳳森里
9236,GPE,印尼
31829,GPE,明誠
28292,GPE, 海新村
28116,GPE,新市鎮
32007,GPE,高雄市橋頭區三德村
28079,GPE,高雄橋頭新市鎮
28154,GPE,高雄市橋頭新市鎮
9230,GPE,馬來西亞
31961,GPE,北溝
28344,GPE,游檨仔
31845,GPE,高雄漢神巨蛋
31735,GPE,翠屏里
8919,GPE,龍鳳里
31723,GPE,楠梓加工出口區
31672,GPE,前鎮小港區
28495,GPE,屏東縣前縣長
7442,GPE,中正國
29351,GPE,淡水
31604,GPE,襄盛
28992,GPE,蚵仔寮社區
29007,GPE,信蚵里黃新長
30627,GPE,市府
7907,GPE,進香團
7919,GPE,高雄道
7926,GPE,崙豐市區
8548,GPE,中國大陸
7936,GPE,台西鄉崙豐
30473,GPE,高 雄縣
30412,GPE,高雄市前鎮
8546,GPE,六合夜市
8463,GPE,高雄市小港區
7962,GPE,高雄巿
8016,GPE,台灣石化
29917,GPE,青溪
29842,GPE,路竹地區
8432,GPE,台獨
29104,GPE,屏東縣政府
29775,GPE,二岸
29124,GPE,釜山
8082,GPE,高雄市橋頭區
29685,GPE,右昌
29659,GPE,陸淑美
8325,GPE,投縣
29332,GPE,凹 仔底
29386,GPE,岡山中街
29376,GPE,岡山水
29343,GPE,高雄縣濱海
8207,GPE, 雄市
7883,GPE,方德隆
8621,GPE,大寮
30761,GPE,三民西區
7844,GPE,岡山
7510,GPE,修市
31527,GPE,文山區
28642,GPE,岡山本洲里
31362,GPE,中庄
31354,GPE,美濃永安庄
31352,GPE,上庄
31348,GPE,留美
28667,GPE,本洲
8809,GPE,國立
28820,GPE,高市府鳳山
28874,GPE,縣市合併
7604,GPE,賴清德
31151,GPE,精華行政區
