,Class,NER
55112,EVENT,悠郵躍動全國運動城市郵展」主題郵展
88848,EVENT,凡那比
35629,EVENT,高雄區原住民大 專青年心靈成長交流會
4200,EVENT,亞太國際教育協會暨教育展
67896,EVENT,抗戰
67921,EVENT,連習會
67946,EVENT,世界盃
67952,EVENT,世界奧林匹克西洋棋錦標賽
68005,EVENT,一○四年體育有功人員表揚典禮
4342,EVENT,千里錦繡-棉紙藝術撕畫展
4345,EVENT,千里錦繡─棉紙藝術撕畫展
68013,EVENT,祥獅獻瑞
68038,EVENT,南京青奧
68049,EVENT,巴西里約奧運
4353,EVENT,議會藝術走廊
88536,EVENT,北美水產 品展
4362,EVENT,第一屆海事展
88522,EVENT,台北食品展
68100,EVENT,岡山果菜市場遷建協調會
88513,EVENT,布魯塞爾水產品展
4369,EVENT,高雄國際海事船舶展暨國防工業展
88512,EVENT,中秋海陸生鮮烤肉組
88511,EVENT,日本東京食品展
88510,EVENT,台北國際食品展覽會
4391,EVENT,台灣第一屆國際海事展
68377,EVENT,港都壽山展
68454,EVENT,高雄市攝影學會會員作品聯展
28709,EVENT,醫界大聯盟後援會成立大會
67733,EVENT,東亞青年運動會
68719,EVENT,十一國參賽
50362,EVENT,潭子底及石螺潭排水檢討案
88870,EVENT,凡那比」 颱風
89296,EVENT,二○一 五港都雄青鬥陣營
66905,EVENT,中秋老人Ｋ歌大賽暨餐會
15630,EVENT,二○一六高雄國際旅展
15628,EVENT,台北國際旅展
89253,EVENT,冠軍盃
89246,EVENT,龍舟活動
67005,EVENT,蓮潭湖畔觀光旅館開發案
15474,EVENT,創新荷蘭行動展
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
67176,EVENT,月世界活動
41834,EVENT,台糖公司土地經濟部工作小組第十六次會議
15415,EVENT,美•山城馬拉松比賽
89125,EVENT,亞太地域市長會議
15407,EVENT,全國油畫比賽
3959,EVENT,頒獎典禮
67345,EVENT,雙港論壇
3966,EVENT,迎春宴
41971,EVENT,眷村文物展
35723,EVENT,二零二六亞運
28227,EVENT,典範教師公開授課暨入班觀課
50392,EVENT,平埔祭典
50391,EVENT,阿里關平埔祭典
50384,EVENT,平埔夜祭活動
50378,EVENT,頂荖濃平埔祭典
28405,EVENT,高雄市長盃全國美容美髮造型技術競賽
28406,EVENT,台灣高雄市長盃全國美容美髮造型技術競賽大會
50373,EVENT,莫拉克颱風
88862,EVENT,九一九凡那比號颱風
15793,EVENT,疏伐木ＤＩＹ生活傢俱
35489,EVENT,五里後援會造勢大會
69029,EVENT,漂亮寶貝
70086,EVENT,青年創業座談會
87801,EVENT,蓮潭湖畔休閒旅館開發案
87792,EVENT,旗津沙灘渡假旅館開發案
14634,EVENT,太陽花學運
4829,EVENT,你愛水 我節水 歡慶兒童節
70274,EVENT,七三一高雄石化氣爆
35125,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
4840,EVENT,樂活節
70298,EVENT,七三一氣爆
14582,EVENT,美的總動員－藝術家展覽會
87698,EVENT,南海和平倡議
14580,EVENT,高雄哈客嘉年華會
70419,EVENT,高雄地區選戰會報
70559,EVENT,芋箋傳愛活動
14507,EVENT,中華書道學會作品聯展
14462,EVENT,李科永紀念圖書館
14388,EVENT,林家血案
14354,EVENT,高屏地區二二八
70783,EVENT,高雄市客家信仰中心整體風貌改善工程
87407,EVENT,彌陀區漁會
14333,EVENT,高雄市二二八和平紀念活動
70818,EVENT,高雄市美術展
14315,EVENT,二二八慘案
14305,EVENT,二二八林宅血案
14292,EVENT,二二八事件
35048,EVENT,高雄藝術博覽會
42786,EVENT,李長 榮大社廠復工審查會
4772,EVENT,小澤征 爾音樂祭
49607,EVENT,社子島開發案
29068,EVENT,觀光推介會
69781,EVENT,亞運會
69208,EVENT,台北國際食品展
69311,EVENT,後備軍人運 動大會暨國軍人才招募活動
88189,EVENT,光州518事件
35465,EVENT,第九屆第二次會員大會
69334,EVENT,高雄綠豆椪烘焙大賽
69366,EVENT,佛齋僧護國祈福大法會
88160,EVENT,廿五週年校慶
42526,EVENT,中國國民黨第十九屆中央委員會第三次全 體會議
4628,EVENT,一○五年南區技職教育博覽會
88142,EVENT,亞太大學會議
42548,EVENT,中國國民黨第十九屆中央委員會第三次全體會議
69520,EVENT,蔡英文後援會成立大會
69522,EVENT,九三
69526,EVENT,施政報告
69551,EVENT,九三紀念抗戰
69559,EVENT,九三大閱兵
28960,EVENT,茄萣地區登革熱防治工作慰勞餐會活動
49361,EVENT,五甲關帝廟
49312,EVENT,寶玉里後援會成立大會
69649,EVENT,2015南區客家美食料理比賽
69654,EVENT,二○一五南區客家美食料理比賽
35276,EVENT,RUN 氣球路跑
49255,EVENT,60週年慶
69697,EVENT,寒軒VS淮安兩岸名廚交流鑑賞會
4727,EVENT,全國漆彈大作戰第二波戰火
87940,EVENT,暑期青年職場體驗計畫
69771,EVENT,亞奧運
35205,EVENT,二0一五 OPEN！RUN 氣球路跑
4961,EVENT,那瑪夏賞螢
3584,EVENT,臨時案
15842,EVENT,波灣食品展
91589,EVENT,大巨蛋園區防災避難安全研討會
63667,EVENT,漾藝術博覽會
2124,EVENT,木蘭足球聯賽
63670,EVENT,二零一五高雄漾藝術博覽會
63681,EVENT,藝術博 覽會
17997,EVENT,全國黨員代表大會
63866,EVENT,小英盃壘球錦標賽
91429,EVENT,麻里巴農產文化節
63943,EVENT,高雄金豪會
2154,EVENT,木蘭女足聯賽
63993,EVENT,二 零一五高雄港都勞工高峰會
91409,EVENT,馬拉松路跑比賽
17842,EVENT,全運會
17789,EVENT,行政院災害防救專家諮詢委員會
17772,EVENT,中央災害防救會報第三十三次會議
64185,EVENT,蘇迪勒颱
17731,EVENT,二 ○○九世界運動會
91392,EVENT,跟我一起曬月亮晚會
17728,EVENT,二○一七世大運
64186,EVENT,蓮花颱風
64209,EVENT,蘇 迪勒颱風
91380,EVENT,麻里巴農產文化節─
2313,EVENT,全國黨代表大會
17574,EVENT,登革熱疫治會議
64371,EVENT,新北FUN街頭
36743,EVENT,反賄選陣線聯盟
64382,EVENT,法國馬賽城街舞大賽
2104,EVENT,大專足球聯賽
64383,EVENT,Marseille Battle Pro
40892,EVENT,莫拉克颱風災
36838,EVENT,軍宅案
18689,EVENT,○二○六震災優先處置事項研商會議
