,Class,NER
59560,EVENT,登革熱防疫
52305,EVENT,國際身心障礙者日
17842,EVENT,全運會
52470,EVENT,真愛永恆~銀髮婚頌禮讚
52487,EVENT,台南登革熱
17789,EVENT,行政院災害防救專家諮詢委員會
17772,EVENT,中央災害防救會報第三十三次會議
17731,EVENT,二 ○○九世界運動會
17728,EVENT,二○一七世大運
76675,EVENT,蘇迪勒颱風警報
17574,EVENT,登革熱疫治會議
53089,EVENT,亞運
53090,EVENT,金牌
17432,EVENT,世運
53102,EVENT,全運
17410,EVENT,世大運
53114,EVENT,倫敦奧運
17376,EVENT,全國漆彈大作戰記者會
17359,EVENT,龍舟競賽
17351,EVENT,玫瑰花節
53124,EVENT,區運舉重賽
76346,EVENT,第二屆惠州臺灣精品博覽會
76329,EVENT,惠州臺灣精品博覽會
4200,EVENT,亞太國際教育協會暨教育展
53646,EVENT,臺灣海洋產學策進會
53802,EVENT,台北世界大學運動會
76864,EVENT,雙城交通論壇
3966,EVENT,迎春宴
3959,EVENT,頒獎典禮
52157,EVENT,屏東縣東港鎮登革熱戰役
77788,EVENT,彌陀海岸光廊景觀改善工程
19008,EVENT,高雄嘉年華
3384,EVENT,美麗島事件
19002,EVENT,大立百貨
18983,EVENT,新住民慶元宵聯誼座談會
77560,EVENT,九合一
77501,EVENT,台二十一線
18765,EVENT,二○一六新春文化饗宴
18708,EVENT,莫拉克風災
18700,EVENT,九二一地震
18689,EVENT,○二○六震災優先處置事項研商會議
18602,EVENT,溫馨感謝卡活動
53836,EVENT,二 ○○九年世界運動會
18515,EVENT,祈福會
77362,EVENT,國家課程委員會
51091,EVENT,亞太盃國際纜繩滑水錦標賽
51240,EVENT,柏林國際電影節
51245,EVENT,兩岸文化藝術饗宴
51249,EVENT,春晚
51270,EVENT,世界特殊奧運會閉幕典禮
18348,EVENT,九二一震災
18312,EVENT,家庭微旅行親子野餐創意秀
18235,EVENT,Ｏ二Ｏ六台南震災
18186,EVENT,大林蒲西南瘋音樂祭
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
17997,EVENT,全國黨員代表大會
3584,EVENT,臨時案
77803,EVENT,義大世界-佛陀紀念館
4342,EVENT,千里錦繡-棉紙藝術撕畫展
54001,EVENT,全國運動會開幕典禮
15842,EVENT,波灣食品展
15838,EVENT,波灣國際食品展
15793,EVENT,疏伐木ＤＩＹ生活傢俱
75497,EVENT,澎湖縣海洋雙星聯合治理會議
75400,EVENT,暮光之城
15630,EVENT,二○一六高雄國際旅展
15628,EVENT,台北國際旅展
55554,EVENT,高雄農業故事館
75267,EVENT,市府第十四次登革熱防治工作協調會會議
15474,EVENT,創新荷蘭行動展
4727,EVENT,全國漆彈大作戰第二波戰火
75133,EVENT,智慧城市x市長論壇
15415,EVENT,美•山城馬拉松比賽
15407,EVENT,全國油畫比賽
55844,EVENT,81氣爆事件
4772,EVENT,小澤征 爾音樂祭
56058,EVENT,高雄市立圖書館總 館
56066,EVENT,白玉蘿蔔季
56088,EVENT,二○一六客庄十二大節慶
56257,EVENT,英雄聯盟二○一五世界大賽
4829,EVENT,你愛水 我節水 歡慶兒童節
56276,EVENT,世界大賽
56281,EVENT,Ａ組分區比賽
4840,EVENT,樂活節
74901,EVENT,高屏觀光推廣會
4628,EVENT,一○五年南區技職教育博覽會
55195,EVENT,11腳競速大對決
75564,EVENT,瑪格德堡第二屆歐洲合唱大賽
75566,EVENT,世界合唱大賽
4353,EVENT,議會藝術走廊
76107,EVENT,高雄氣爆案
54016,EVENT,二○○九世運
16797,EVENT,南投燈會
4362,EVENT,第一屆海事展
16796,EVENT,台北燈會
16774,EVENT,二○六大地震
4369,EVENT,高雄國際海事船舶展暨國防工業展
16695,EVENT,南台灣大地震
75992,EVENT,二○一五世界盃巧固球錦標賽
4391,EVENT,台灣第一屆國際海事展
16549,EVENT,燈會
4345,EVENT,千里錦繡─棉紙藝術撕畫展
16534,EVENT,高雄燈會
75885,EVENT,水域遊憩安全研習營
75872,EVENT,愛FUN極限-水域遊憩活動
54208,EVENT,台客舞決賽
54327,EVENT,第九屆立法委員選舉
54336,EVENT,半屏湖濕地生態地景藝術揭幕儀式
54631,EVENT,國際女子棒球邀請賽
54855,EVENT,兒童寫生繪畫比賽活動
16038,EVENT,第二十一屆義工聯合隊慶
54950,EVENT,南橫馬拉松
15992,EVENT,南台灣強震
55108,EVENT,世運場館
55112,EVENT,悠郵躍動全國運動城市郵展」主題郵展
16402,EVENT,高雄燈會藝術節
57084,EVENT,超速交通事宜公聽會
50397,EVENT,小林平埔夜祭
50391,EVENT,阿里關平埔祭典
22532,EVENT,漯底山國際青年商會
46152,EVENT,黃色小鴨展
2088,EVENT,木蘭聯賽
22361,EVENT,中常會
2104,EVENT,大專足球聯賽
2124,EVENT,木蘭足球聯賽
22174,EVENT,風華再現•城市文化再生 新亮點
46486,EVENT,本元里後援會成立大會
46508,EVENT,馬習會
79785,EVENT,七三一氣爆事件
2154,EVENT,木蘭女足聯賽
47039,EVENT,高雄客家 文化節─客家有囍婚禮
21600,EVENT,寶來之美全國油畫比賽
21580,EVENT,立院民進 黨黨團會議
47355,EVENT,高雄國際 食品展
2313,EVENT,全國黨代表大會
47681,EVENT,世界競速溜冰錦標賽
47684,EVENT,世界運動會
21272,EVENT,春節花卉展
21268,EVENT,美術北三路住宅大樓新建工程
47887,EVENT,台灣民主變兒戲
2344,EVENT,二次世界大戰
21102,EVENT,馬拉松路跑
79478,EVENT,八仙塵爆
21072,EVENT,星光歡迎會
45839,EVENT,台灣遊艇展
80192,EVENT,百愛孫志工環島服務活動
45745,EVENT,二○一五國際書展暨蔬食博覽會
45726,EVENT,佛陀紀念館書展
44325,EVENT,世界盃亞洲區資格賽
44394,EVENT,ＳＡＲＳ疫情
44420,EVENT,高雄客家文化節─田園音樂節活動
23448,EVENT,和家盃
23421,EVENT,二○一六全國第六十屆和家盃排球錦標賽
23418,EVENT,高雄區農業改良場
23316,EVENT,幸福年菜呷辦桌
23232,EVENT, 一日農夫體驗趣
44877,EVENT,國光石化運動
44968,EVENT,仁武區北屋排水整治工程
80839,EVENT,ＨＢＬ高中籃球聯賽
45078,EVENT,第十屆全國心智障礙者 親子運動大會
48021,EVENT,二○一五亞洲人才創新論壇
22960,EVENT,歲末送暖愛心關懷活動
22857,EVENT,二二八影展
22848,EVENT,二二八紀念音樂會
80562,EVENT,在地希望生活節
22847,EVENT,二二八紀念 音樂會
22844,EVENT,大賽英雄 台灣新生
22836,EVENT,五月風暴
22795,EVENT,聯合發放愛 心園遊會
45388,EVENT,旗山廣福里說明會
45549,EVENT,台灣主場最終戰
45552,EVENT,亞洲區資格賽
22672,EVENT,全國教育局長會議
45677,EVENT,國際當代海報展
22934,EVENT,台灣好玩卡
50392,EVENT,平埔祭典
79424,EVENT,高雄港都盃全國羽球錦標賽
21052,EVENT,南橫馬拉松賽
19856,EVENT,國際溜冰館
49255,EVENT,60週年慶
49312,EVENT,寶玉里後援會成立大會
49361,EVENT,五甲關帝廟
19739,EVENT,總統大選
2912,EVENT,一○五年度南區技職博覽會
19649,EVENT,南台大地震
19603,EVENT,七三一石化氣爆
49607,EVENT,社子島開發案
19499,EVENT,漢神百貨
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
19390,EVENT,土壤液化及老舊建物耐震補強協商會議
78307,EVENT,石化氣爆
19317,EVENT,臺南市○二○六震災罹難者頭七法會
19300,EVENT,○二○六震災
78166,EVENT,甲仙區小林村舊址第二期植樹活動
78092,EVENT,七三一高雄氣爆
19117,EVENT,旗津踩風二日遊
19116,EVENT,幸福萬人提燈大遊行
77928,EVENT,中華民國書學會
50362,EVENT,潭子底及石螺潭排水檢討案
50373,EVENT,莫拉克颱風
50378,EVENT,頂荖濃平埔祭典
50384,EVENT,平埔夜祭活動
20024,EVENT,院會
20045,EVENT,道教國際學術研討會
20047,EVENT,二０一五宗教生命關懷國際學術研討會
20063,EVENT,宗教心靈改革 學術研討會
48135,EVENT,臺灣主場最終戰記者會
79406,EVENT,亞太聽障羽球錦標賽
48138,EVENT,世界盃足球賽比賽
48141,EVENT,世界盃亞洲區會
79364,EVENT,七三一
2403,EVENT,台灣國際扣件展
48173,EVENT,世足賽會外賽
48189,EVENT,二○一八世足資格賽
20838,EVENT,世界運動大會
20805,EVENT,蘇迪勒颱風
48759,EVENT,大洋洲錦標賽
48820,EVENT,馬拉松錦標賽
21058,EVENT,南橫馬拉松活動
48990,EVENT,三民區疫情
49043,EVENT,伊甸基金會
79072,EVENT,升降梯安全防護措施研商會議
20440,EVENT,70週年慶
20382,EVENT,道教嘉年華會
78962,EVENT,七三一氣爆善款解密
20230,EVENT,九二一大地震
20201,EVENT,桃芝風災
20200,EVENT,海燕颱風
20186,EVENT,高雄七三一石化氣爆
20159,EVENT,雅安大地震
20149,EVENT,安祈福大法會
78806,EVENT,高雄石化大氣爆案
2530,EVENT,扁案
44272,EVENT,夢想天使希望工程
57208,EVENT,秋季送暖活動
4961,EVENT,那瑪夏賞螢
6640,EVENT,台南震災
10968,EVENT,國際同濟會二○一六亞太年會
64693,EVENT,高雄城市商品ＣＡＤ品牌認證標章徵件活動
10949,EVENT,二○一六國際遊艇展
10897,EVENT,百座世運
10802,EVENT,東京奧運
71497,EVENT,打狗鐵道故事館
64874,EVENT,高醫三角戀情情殺命案
10755,EVENT,二Ｏ一六六堆嘉年華活動
10744,EVENT,第五十一屆六堆運動會
6832,EVENT,大同福樂學堂
10741,EVENT,大武山下的小奧運
10721,EVENT,六堆運動會
6846,EVENT,全國最大漆彈賽事
71277,EVENT,天鵝颱風
65191,EVENT,婉君親善大使LINE相會
6861,EVENT,全國漆彈大賽開幕典禮
65381,EVENT,大樹祈福深度遊
10618,EVENT,高雄市市長盃扯鈴 暨民俗體育錦標賽
65479,EVENT,五十五週年慶
65568,EVENT,萬國風情時裝秀
65570,EVENT,第二屆理監事會
10556,EVENT,太平洋藝術節
10531,EVENT,拉庫斯溪復興橋上游土石防治二 期工程
10387,EVENT,高雄捷運
64632,EVENT,全運會賽
64626,EVENT,英雄齊聚．驚艷高雄
6633,EVENT,二○一六禪淨共修祈福法會
64612,EVENT,一○四全運會
63670,EVENT,二零一五高雄漾藝術博覽會
63681,EVENT,藝術博 覽會
63866,EVENT,小英盃壘球錦標賽
63943,EVENT,高雄金豪會
6422,EVENT,小營養午餐整合研討會
63993,EVENT,二 零一五高雄港都勞工高峰會
11445,EVENT,高雄國際旅展
64185,EVENT,蘇迪勒颱
64186,EVENT,蓮花颱風
6468,EVENT,仁武學苑兒童肚皮舞
6472,EVENT,仁武嘉年華會
64209,EVENT,蘇 迪勒颱風
6992,EVENT,土銀七十載新春樂舞墨
64371,EVENT,新北FUN街頭
64383,EVENT,Marseille Battle Pro
64395,EVENT,二０一五新北FUN街頭
64404,EVENT,世界總決賽
64440,EVENT,凡那比颱風
64457,EVENT,八仙樂園粉塵爆炸案
64460,EVENT,全國災害救助研討論壇
64466,EVENT,南台灣登革熱疫情
71797,EVENT,點亮台灣•縣政來開講
6546,EVENT,進擊的校園全國漆彈大作戰
71755,EVENT,第十四屆第一次港都聯合助學相見歡
71735,EVENT,二零一五高雄厝立體綠化國際研討會暨成果展
6576,EVENT,五二○
64382,EVENT,法國馬賽城街舞大賽
63667,EVENT,漾藝術博覽會
70818,EVENT,高雄市美術展
10118,EVENT,二０一七年生態交通全球盛典
8799,EVENT,西灣飆浪體驗活動
7644,EVENT,莫拉克八八風災
69559,EVENT,九三大閱兵
69551,EVENT,九三紀念抗戰
69526,EVENT,施政報告
67896,EVENT,抗戰
67921,EVENT,連習會
69522,EVENT,九三
69520,EVENT,蔡英文後援會成立大會
67946,EVENT,世界盃
67952,EVENT,世界奧林匹克西洋棋錦標賽
68005,EVENT,一○四年體育有功人員表揚典禮
68013,EVENT,祥獅獻瑞
68038,EVENT,南京青奧
68049,EVENT,巴西里約奧運
8554,EVENT,高雄旅展
69366,EVENT,佛齋僧護國祈福大法會
8539,EVENT,台北旅展
68100,EVENT,岡山果菜市場遷建協調會
69334,EVENT,高雄綠豆椪烘焙大賽
69311,EVENT,後備軍人運 動大會暨國軍人才招募活動
68377,EVENT,港都壽山展
69208,EVENT,台北國際食品展
68454,EVENT,高雄市攝影學會會員作品聯展
68719,EVENT,十一國參賽
67733,EVENT,東亞青年運動會
69649,EVENT,2015南區客家美食料理比賽
69654,EVENT,二○一五南區客家美食料理比賽
9069,EVENT,桃園燈會
10067,EVENT,東京食品展
10053,EVENT,三一一地震
66186,EVENT,高雄建商推案
66212,EVENT,大樓案
7293,EVENT,三讀會
70559,EVENT,芋箋傳愛活動
9679,EVENT,國民小學運動會
70419,EVENT,高雄地區選戰會報
9598,EVENT,第三屆高雄會展論壇
9592,EVENT,二０一六亞太肝臟醫學研討會
70298,EVENT,七三一氣爆
66592,EVENT,蘇迪勒」颱風
70783,EVENT,高雄市客家信仰中心整體風貌改善工程
70274,EVENT,七三一高雄石化氣爆
7421,EVENT,全國兒童才藝總決賽
9445,EVENT,二０一七生態交通全球盛典籌備委員會
70086,EVENT,青年創業座談會
66905,EVENT,中秋老人Ｋ歌大賽暨餐會
9385,EVENT,東沙太陽能光電系統啟用典禮
67005,EVENT,蓮潭湖畔觀光旅館開發案
67176,EVENT,月世界活動
69781,EVENT,亞運會
9238,EVENT,第十一屆會員代表大會
69771,EVENT,亞奧運
67345,EVENT,雙港論壇
69697,EVENT,寒軒VS淮安兩岸名廚交流鑑賞會
9560,EVENT,二０一五金屬科技展
74783,EVENT,台灣省比賽
11747,EVENT,大河之舞
72206,EVENT,一百零四年高雄市美術展
14388,EVENT,林家血案
74183,EVENT,真善美慈善饗宴
59754,EVENT,南高屏三縣市南方治水論壇
14354,EVENT,高屏地區二二八
59787,EVENT,市政會議
14333,EVENT,高雄市二二八和平紀念活動
74073,EVENT,二０一五年國際港灣城市 研討會
14315,EVENT,二二八慘案
14305,EVENT,二二八林宅血案
14292,EVENT,二二八事件
59951,EVENT,杜鵑颱風
14010,EVENT,文化觀光公車好好玩
13917,EVENT,槌球錦標賽
73913,EVENT,納莉
60063,EVENT,台灣國 際水展
5561,EVENT,跟查理布朗旅行趣
60079,EVENT,二○一五南方治水論壇
13823,EVENT,○二○六地震
13789,EVENT,印尼峇里島迎賓舞
73847,EVENT,馬來西亞國際旅遊展
13784,EVENT,祝福之舞
60281,EVENT,日月光案
60283,EVENT,日月光污染案
73817,EVENT,馬國旅展
73816,EVENT,馬來西亞旅展
59628,EVENT,全國油畫比賽行銷記者會
14462,EVENT,李科永紀念圖書館
59563,EVENT,小英盃活動
14507,EVENT,中華書道學會作品聯展
74721,EVENT,新北市活躍樂齡國際論壇
57415,EVENT,台北國際書展
57633,EVENT,全代會
57817,EVENT,台南登革熱疫情
57846,EVENT,南橫比賽
57847,EVENT,寶來遊客中心
58221,EVENT,高雄市公共腳踏車新裝亮相記者會
58685,EVENT,重陽節敬老活動
58772,EVENT,大崗山國際青年商會
58823,EVENT,海光美展
58830,EVENT,高雄科工館
5222,EVENT,環境議題車體廣告徵選活動
73807,EVENT,高市府會議
58833,EVENT,國軍第四十九屆文藝金像獎得獎作品巡迴展
58863,EVENT,高雄青年挺柱後援會成立大會
14634,EVENT,太陽花學運
59077,EVENT,哥倫比亞世界運動會
59091,EVENT,阿根廷世錦賽
59095,EVENT,高雄國際滑輪溜冰場
59119,EVENT,世錦賽
14582,EVENT,美的總動員－藝術家展覽會
14580,EVENT,高雄哈客嘉年華會
59401,EVENT,全運會羽球賽
74265,EVENT,彌陀民眾服務社第廿二屆社員大會
74225,EVENT,桃芝颱風
74215,EVENT,星星王子打擊樂團
58835,EVENT,海光美前天展
6349,EVENT,燕巢區社區公車永續經營公聽會
60483,EVENT,二審
13583,EVENT,台南大地震
61900,EVENT,104年特優暨資深鄰長表揚大會
6075,EVENT,紅火案
61953,EVENT,慶中秋里民聯歡會
62041,EVENT,台電大林更新案
12713,EVENT,九二一
12674,EVENT,大泉淨水場暨下游輸水工程
62095,EVENT,棋琴十七重奏
62129,EVENT,棋琴十七重奏 
62163,EVENT,二○一五國際生態交通論壇
72712,EVENT,蘇迪勒颱風事件
62454,EVENT,二○一五校園佼腳者十人十一腳競速大對決
62560,EVENT,兩岸青年創業峰會
62582,EVENT,兩岸關係與產業發 展
62625,EVENT,兩岸青年創業峰 會
62764,EVENT,登革熱夜間防治說明會
62837,EVENT,高港三四五ＫＶ纜線潛盾工程
12117,EVENT,促進日台經濟文化交流青年議員會
12114,EVENT,五年前三一一東日本大震災
