,Class,NER
126660,EVENT,前鎮魚市場污水處理場改建工程
40077,EVENT,徐生明盃全國少棒錦標賽
74265,EVENT,彌陀民眾服務社第廿二屆社員大會
30407,EVENT,Formosa雕塑雙年展
81214,EVENT,國際商工
93812,EVENT,高廠印象之旅水彩畫作聯展
93819,EVENT,戀念煉油廠寫生比賽
128829,EVENT,小林村年糕行銷記者會
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
118293,EVENT,七三一石化氣爆事件
118296,EVENT,慶重生
128773,EVENT,三羊盛台南
79424,EVENT,高雄港都盃全國羽球錦標賽
30396,EVENT,二零一五 Formosa雕塑雙年展
118467,EVENT,幼兒足球錦標賽
72712,EVENT,蘇迪勒颱風事件
128725,EVENT,恆春半島醫療
3959,EVENT,頒獎典禮
13823,EVENT,○二○六地震
13789,EVENT,印尼峇里島迎賓舞
128560,EVENT,伯夷地面高爾夫球協會會員大會
13784,EVENT,祝福之舞
7644,EVENT,莫拉克八八風災
94039,EVENT,大林蒲遷村案
19116,EVENT,幸福萬人提燈大遊行
18983,EVENT,新住民慶元宵聯誼座談會
63670,EVENT,二零一五高雄漾藝術博覽會
19002,EVENT,大立百貨
19008,EVENT,高雄嘉年華
128686,EVENT,高雄電影節
3966,EVENT,迎春宴
63667,EVENT,漾藝術博覽會
63681,EVENT,藝術博 覽會
19117,EVENT,旗津踩風二日遊
76107,EVENT,高雄氣爆案
13588,EVENT,八八風災
59951,EVENT,杜鵑颱風
79364,EVENT,七三一
19499,EVENT,漢神百貨
129510,EVENT,第三十七屆克萊蒙費鴻短片影展
92961,EVENT,錄音帶案
129514,EVENT,克萊蒙費鴻影展市場展
129349,EVENT,登革熱防治會議
75992,EVENT,二○一五世界盃巧固球錦標賽
44272,EVENT,夢想天使希望工程
19603,EVENT,七三一石化氣爆
129558,EVENT,農民節大會
19649,EVENT,南台大地震
92871,EVENT,國民黨第四區黨部慶生會
19739,EVENT,總統大選
3384,EVENT,美麗島事件
105865,EVENT,創世福利基金會
35465,EVENT,第九屆第二次會員大會
19390,EVENT,土壤液化及老舊建物耐震補強協商會議
13583,EVENT,台南大地震
13579,EVENT,二二八
106135,EVENT,二○一五工業衛生暨環境職業醫學國際研討會
106166,EVENT,抗旱會議
106397,EVENT,臺灣書法學會
3584,EVENT,臨時案
44167,EVENT,二讀會
93487,EVENT,高市府四維行政中心中庭
106412,EVENT,台灣盃全國書法比賽得獎作品展
19300,EVENT,○二○六震災
19317,EVENT,臺南市○二○六震災罹難者頭七法會
106427,EVENT,中山大學科技創新論壇
129251,EVENT,台中資訊月
31790,EVENT,ＰＡＲＴＹ
79406,EVENT,亞太聽障羽球錦標賽
118708,EVENT,德國科隆牙科展
47887,EVENT,台灣民主變兒戲
18765,EVENT,二○一六新春文化饗宴
127886,EVENT,國道七號環評範疇界定延續會議
14292,EVENT,二二八事件
50373,EVENT,莫拉克颱風
59628,EVENT,全國油畫比賽行銷記者會
77560,EVENT,九合一
50378,EVENT,頂荖濃平埔祭典
34418,EVENT,宗教生命關懷國際學術研討會
4391,EVENT,台灣第一屆國際海事展
40433,EVENT,動物也瘋狂─二手玩具 交換市集暨分享童樂會
48021,EVENT,二○一五亞洲人才創新論壇
50384,EVENT,平埔夜祭活動
128043,EVENT,全國教育盃獨輪車錦標賽
4369,EVENT,高雄國際海事船舶展暨國防工業展
50391,EVENT,阿里關平埔祭典
40437,EVENT,動物也瘋狂─二手玩具交換市集暨分享童樂會
50392,EVENT,平埔祭典
48135,EVENT,臺灣主場最終戰記者會
40522,EVENT,捍衛食安人權─搶救校園營養午餐大 作戰
77501,EVENT,台二十一線
18348,EVENT,九二一震災
63866,EVENT,小英盃壘球錦標賽
74225,EVENT,桃芝颱風
127803,EVENT,重劃工程竣工典禮
48141,EVENT,世界盃亞洲區會
119149,EVENT,廢核大遊行
95438,EVENT,園冶獎
14315,EVENT,二二八慘案
50362,EVENT,潭子底及石螺潭排水檢討案
14305,EVENT,二二八林宅血案
127839,EVENT,二０一五高雄數位產業徵才活動
95397,EVENT,二０一五年建築園冶獎頒獎典禮
48138,EVENT,世界盃足球賽比賽
67176,EVENT,月世界活動
92663,EVENT,吉祥物大賽
4362,EVENT,第一屆海事展
67345,EVENT,雙港論壇
