,Class,NER
38679,EVENT,大阪藝術博覽會
56281,EVENT,Ａ組分區比賽
32671,EVENT,馬雅各來臺一百五十 週年紀念特展
45549,EVENT,台灣主場最終戰
45552,EVENT,亞洲區資格賽
89296,EVENT,二○一 五港都雄青鬥陣營
22960,EVENT,歲末送暖愛心關懷活動
56276,EVENT,世界大賽
56257,EVENT,英雄聯盟二○一五世界大賽
89253,EVENT,冠軍盃
89246,EVENT,龍舟活動
45677,EVENT,國際當代海報展
3584,EVENT,臨時案
8799,EVENT,西灣飆浪體驗活動
45726,EVENT,佛陀紀念館書展
32492,EVENT,斯德哥爾摩症候群
45745,EVENT,二○一五國際書展暨蔬食博覽會
89125,EVENT,亞太地域市長會議
56088,EVENT,二○一六客庄十二大節慶
56066,EVENT,白玉蘿蔔季
56058,EVENT,高雄市立圖書館總 館
45839,EVENT,台灣遊艇展
79785,EVENT,七三一氣爆事件
14634,EVENT,太陽花學運
32084,EVENT,食安風暴
12998,EVENT,全國運動會
32683,EVENT,馬雅各來臺一百五十週年紀念特展活動
45388,EVENT,旗山廣福里說明會
79478,EVENT,八仙塵爆
3384,EVENT,美麗島事件
44968,EVENT,仁武區北屋排水整治工程
62625,EVENT,兩岸青年創業峰 會
33016,EVENT,世界盃高爾夫球賽
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
78962,EVENT,七三一氣爆善款解密
32988,EVENT,首屆世界盃高爾夫球賽
79072,EVENT,升降梯安全防護措施研商會議
89830,EVENT,高雄捷運輕軌案
9069,EVENT,桃園燈會
22672,EVENT,全國教育局長會議
45078,EVENT,第十屆全國心智障礙者 親子運動大會
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
69771,EVENT,亞奧運
89715,EVENT,香港高雄跨國賽
22836,EVENT,五月風暴
22844,EVENT,大賽英雄 台灣新生
22847,EVENT,二二八紀念 音樂會
69781,EVENT,亞運會
79364,EVENT,七三一
22848,EVENT,二二八紀念音樂會
22857,EVENT,二二八影展
79406,EVENT,亞太聽障羽球錦標賽
12975,EVENT,全國田徑錦標賽
22934,EVENT,台灣好玩卡
79424,EVENT,高雄港都盃全國羽球錦標賽
22795,EVENT,聯合發放愛 心園遊會
9238,EVENT,第十一屆會員代表大會
32057,EVENT,清庄事件
32040,EVENT,清 庄事件
4345,EVENT,千里錦繡─棉紙藝術撕畫展
55554,EVENT,高雄農業故事館
4353,EVENT,議會藝術走廊
23316,EVENT,幸福年菜呷辦桌
80562,EVENT,在地希望生活節
4362,EVENT,第一屆海事展
46486,EVENT,本元里後援會成立大會
31631,EVENT,世界宗教和平大會
31625,EVENT,宗教聯誼會
4369,EVENT,高雄國際海事船舶展暨國防工業展
46508,EVENT,馬習會
23418,EVENT,高雄區農業改良場
23421,EVENT,二○一六全國第六十屆和家盃排球錦標賽
4391,EVENT,台灣第一屆國際海事展
14580,EVENT,高雄哈客嘉年華會
23448,EVENT,和家盃
16402,EVENT,高雄燈會藝術節
18235,EVENT,Ｏ二Ｏ六台南震災
31386,EVENT,相約澄清湖幸福花園音樂會
80839,EVENT,ＨＢＬ高中籃球聯賽
55195,EVENT,11腳競速大對決
55112,EVENT,悠郵躍動全國運動城市郵展」主題郵展
88189,EVENT,光州518事件
55108,EVENT,世運場館
70086,EVENT,青年創業座談會
4342,EVENT,千里錦繡-棉紙藝術撕畫展
31790,EVENT,ＰＡＲＴＹ
14582,EVENT,美的總動員－藝術家展覽會
4200,EVENT,亞太國際教育協會暨教育展
3959,EVENT,頒獎典禮
46152,EVENT,黃色小鴨展
3966,EVENT,迎春宴
65570,EVENT,第二屆理監事會
13025,EVENT,奧運
8554,EVENT,高雄旅展
88870,EVENT,凡那比」 颱風
88862,EVENT,九一九凡那比號颱風
