,Class,NER
59119,EVENT,世錦賽
61410,EVENT,二戰
23418,EVENT,高雄區農業改良場
33336,EVENT,宗教與心靈改革研討會
23421,EVENT,二○一六全國第六十屆和家盃排球錦標賽
10897,EVENT,百座世運
56088,EVENT,二○一六客庄十二大節慶
43457,EVENT,國際書展和蔬食博覽會
23448,EVENT,和家盃
35048,EVENT,高雄藝術博覽會
56066,EVENT,白玉蘿蔔季
56058,EVENT,高雄市立圖書館總 館
7644,EVENT,莫拉克八八風災
10802,EVENT,東京奧運
44968,EVENT,仁武區北屋排水整治工程
61621,EVENT,神農盃
16534,EVENT,高雄燈會
24699,EVENT,春節送暖歲末關懷活動
43441,EVENT,國際書展暨蔬食博覽會
70419,EVENT,高雄地區選戰會報
22361,EVENT,中常會
4772,EVENT,小澤征 爾音樂祭
66592,EVENT,蘇迪勒」颱風
18186,EVENT,大林蒲西南瘋音樂祭
35125,EVENT,美濃中庄景觀橋暨湧泉生活空間營造 落成啟用典禮
37449,EVENT,灣利里與喬佑後援會成立大會
56281,EVENT,Ａ組分區比賽
56276,EVENT,世界大賽
56257,EVENT,英雄聯盟二○一五世界大賽
31386,EVENT,相約澄清湖幸福花園音樂會
4727,EVENT,全國漆彈大作戰第二波戰火
24870,EVENT,運動健身．快樂人生－環山健行趣
16549,EVENT,燈會
10968,EVENT,國際同濟會二○一六亞太年會
10949,EVENT,二○一六國際遊艇展
33327,EVENT,二○一五宗教生命關懷國際學術研討會
4628,EVENT,一○五年南區技職教育博覽會
10755,EVENT,二Ｏ一六六堆嘉年華活動
66212,EVENT,大樓案
24634,EVENT,春節送暖歲末 關懷活動
20838,EVENT,世界運動大會
44877,EVENT,國光石化運動
10618,EVENT,高雄市市長盃扯鈴 暨民俗體育錦標賽
61900,EVENT,104年特優暨資深鄰長表揚大會
61953,EVENT,慶中秋里民聯歡會
34678,EVENT,二０一五海峽兩岸道教經典學術研討會
34665,EVENT,SARS
2088,EVENT,木蘭聯賽
10556,EVENT,太平洋藝術節
10531,EVENT,拉庫斯溪復興橋上游土石防治二 期工程
62041,EVENT,台電大林更新案
29068,EVENT,觀光推介會
2104,EVENT,大專足球聯賽
15992,EVENT,南台灣強震
51270,EVENT,世界特殊奧運會閉幕典禮
51249,EVENT,春晚
51245,EVENT,兩岸文化藝術饗宴
20805,EVENT,蘇迪勒颱風
10744,EVENT,第五十一屆六堆運動會
10741,EVENT,大武山下的小奧運
43485,EVENT,大台南國際旅展
10721,EVENT,六堆運動會
66186,EVENT,高雄建商推案
18708,EVENT,莫拉克風災
28960,EVENT,茄萣地區登革熱防治工作慰勞餐會活動
61276,EVENT,二○一五高雄水展
22174,EVENT,風華再現•城市文化再生 新亮點
18700,EVENT,九二一地震
51091,EVENT,亞太盃國際纜繩滑水錦標賽
17842,EVENT,全運會
61816,EVENT,花博
