,Class,NER
33327,EVENT,二○一五宗教生命關懷國際學術研討會
127803,EVENT,重劃工程竣工典禮
88513,EVENT,布魯塞爾水產品展
3959,EVENT,頒獎典禮
22361,EVENT,中常會
88512,EVENT,中秋海陸生鮮烤肉組
56281,EVENT,Ａ組分區比賽
3966,EVENT,迎春宴
88511,EVENT,日本東京食品展
56276,EVENT,世界大賽
88510,EVENT,台北國際食品展覽會
116058,EVENT,十七屆金樽盃國際調酒大賽
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
127886,EVENT,國道七號環評範疇界定延續會議
59787,EVENT,市政會議
127839,EVENT,二０一五高雄數位產業徵才活動
116030,EVENT,台首大十五週年校慶暨運動大會
88522,EVENT,台北食品展
68454,EVENT,高雄市攝影學會會員作品聯展
88862,EVENT,九一九凡那比號颱風
42786,EVENT,李長 榮大社廠復工審查會
64209,EVENT,蘇 迪勒颱風
88848,EVENT,凡那比
64186,EVENT,蓮花颱風
59754,EVENT,南高屏三縣市南方治水論壇
88536,EVENT,北美水產 品展
64185,EVENT,蘇迪勒颱
127744,EVENT,高雄市高縣眷村文化發展協會
102002,EVENT,台北市遠雄巨蛋案
116107,EVENT,甲仙埔事件
116100,EVENT,第五Ο屆六堆運動會
116081,EVENT,六堆之夜
116077,EVENT,華－第五Ο屆六堆運動會
22174,EVENT,風華再現•城市文化再生 新亮點
88870,EVENT,凡那比」 颱風
56257,EVENT,英雄聯盟二○一五世界大賽
102443,EVENT,上海春季食品展
63943,EVENT,高雄金豪會
128194,EVENT,反國道七號大寮自救會
87940,EVENT,暑期青年職場體驗計畫
128224,EVENT,高雄市社會局第十三處托嬰中心
14634,EVENT,太陽花學運
63866,EVENT,小英盃壘球錦標賽
22672,EVENT,全國教育局長會議
115571,EVENT,中崙溼地公園水岸營造工程
22795,EVENT,聯合發放愛 心園遊會
87801,EVENT,蓮潭湖畔休閒旅館開發案
128368,EVENT,花漾派對設計展
87792,EVENT,旗津沙灘渡假旅館開發案
14582,EVENT,美的總動員－藝術家展覽會
50362,EVENT,潭子底及石螺潭排水檢討案
37667,EVENT,愛老婆運動
102399,EVENT,春季食品展
128152,EVENT,4G智慧寬頻應用城市計畫高雄市建設藍圖說明會
43051,EVENT,岡山聯合競選總部成立大會
115868,EVENT,亞太城市會議
22532,EVENT,漯底山國際青年商會
88189,EVENT,光州518事件
128043,EVENT,全國教育盃獨輪車錦標賽
88160,EVENT,廿五週年校慶
102566,EVENT,旗山尊懷基金會
63993,EVENT,二 零一五高雄港都勞工高峰會
68719,EVENT,十一國參賽
115816,EVENT,公共托嬰中心
102572,EVENT,環評開發案論壇會場
56088,EVENT,二○一六客庄十二大節慶
115784,EVENT,九二會議
3584,EVENT,臨時案
128129,EVENT,第廿六屆飢餓三十飢餓勇士大會師
88142,EVENT,亞太大學會議
101641,EVENT,金鏟子•祝好孕
101575,EVENT,中國國際食品飲料展
68377,EVENT,港都壽山展
100655,EVENT,東南亞暨南亞大學校長論壇會議
21102,EVENT,馬拉松路跑
126752,EVENT,二Ο一五旗山燈會
68005,EVENT,一○四年體育有功人員表揚典禮
89830,EVENT,高雄捷運輕軌案
68013,EVENT,祥獅獻瑞
64612,EVENT,一○四全運會
126835,EVENT,乙未迎春│名家揮毫贈春聯
68049,EVENT,巴西里約奧運
38687,EVENT,博覽會
21268,EVENT,美術北三路住宅大樓新建工程
21272,EVENT,春節花卉展
38679,EVENT,大阪藝術博覽會
126968,EVENT,高雄石化氣爆事件
68038,EVENT,南京青奧
89715,EVENT,香港高雄跨國賽
67952,EVENT,世界奧林匹克西洋棋錦標賽
67921,EVENT,連習會
64693,EVENT,高雄城市商品ＣＡＤ品牌認證標章徵件活動
59628,EVENT,全國油畫比賽行銷記者會
100269,EVENT,二零一五義大利世博
90230,EVENT,功德法會
126394,EVENT,農曆新年到二二八
64632,EVENT,全運會賽
67946,EVENT,世界盃
21052,EVENT,南橫馬拉松賽
7644,EVENT,莫拉克八八風災
21058,EVENT,南橫馬拉松活動
100620,EVENT,　二０一五高雄市旅行公會國際旅展
67896,EVENT,抗戰
126660,EVENT,前鎮魚市場污水處理場改建工程
21072,EVENT,星光歡迎會
64626,EVENT,英雄齊聚．驚艷高雄
42526,EVENT,中國國民黨第十九屆中央委員會第三次全 體會議
4391,EVENT,台灣第一屆國際海事展
42548,EVENT,中國國民黨第十九屆中央委員會第三次全體會議
21580,EVENT,立院民進 黨黨團會議
89253,EVENT,冠軍盃
4200,EVENT,亞太國際教育協會暨教育展
21600,EVENT,寶來之美全國油畫比賽
116625,EVENT,高雄市藥師公會會員大會
89246,EVENT,龍舟活動
101138,EVENT,台北巨蛋案
64395,EVENT,二０一五新北FUN街頭
127330,EVENT,高雄石化氣爆案
64382,EVENT,法國馬賽城街舞大賽
64371,EVENT,新北FUN街頭
89125,EVENT,亞太地域市長會議
101298,EVENT,祈雨法會
47039,EVENT,高雄客家 文化節─客家有囍婚禮
64383,EVENT,Marseille Battle Pro
64404,EVENT,世界總決賽
89296,EVENT,二○一 五港都雄青鬥陣營
64440,EVENT,凡那比颱風
68100,EVENT,岡山果菜市場遷建協調會
49607,EVENT,社子島開發案
116759,EVENT,旗津生命紀念館
4369,EVENT,高雄國際海事船舶展暨國防工業展
116756,EVENT,２５淑女墓
64466,EVENT,南台灣登革熱疫情
4362,EVENT,第一屆海事展
4353,EVENT,議會藝術走廊
64460,EVENT,全國災害救助研討論壇
127105,EVENT,國小兒童上網行為調查報告公布
4345,EVENT,千里錦繡─棉紙藝術撕畫展
4342,EVENT,千里錦繡-棉紙藝術撕畫展
64457,EVENT,八仙樂園粉塵爆炸案
116696,EVENT,三二五美術節系列活動
101111,EVENT,台北大巨蛋案
22836,EVENT,五月風暴
22844,EVENT,大賽英雄 台灣新生
22847,EVENT,二二八紀念 音樂會
22848,EVENT,二二八紀念音樂會
86131,EVENT,八仙樂園粉塵爆事件
24052,EVENT,馬王政爭
36838,EVENT,軍宅案
86083,EVENT,八仙塵爆事件
86046,EVENT,第十號颱風
85923,EVENT,旗津沙雕展
36867,EVENT,全國中小學科學展覽會
70086,EVENT,青年創業座談會
85716,EVENT,環台賽
85712,EVENT,太子極限環台賽
14010,EVENT,文化觀光公車好好玩
24209,EVENT,趙評彩繪衣衫展
2403,EVENT,台灣國際扣件展
55554,EVENT,高雄農業故事館
85724,EVENT,九天盃太子極限環台賽
24224,EVENT,福蝶生態藝術冬令營
23989,EVENT,六台灣國際遊艇展
23964,EVENT,環境影響評估審查委 員會第三十三次會議
14315,EVENT,二二八慘案
14305,EVENT,二二八林宅血案
14292,EVENT,二二八事件
69697,EVENT,寒軒VS淮安兩岸名廚交流鑑賞會
129510,EVENT,第三十七屆克萊蒙費鴻短片影展
129514,EVENT,克萊蒙費鴻影展市場展
2530,EVENT,扁案
104224,EVENT,中央水情會議
8539,EVENT,台北旅展
69771,EVENT,亞奧運
129558,EVENT,農民節大會
69781,EVENT,亞運會
8554,EVENT,高雄旅展
55844,EVENT,81氣爆事件
86454,EVENT,八仙樂園粉塵暴燃事故
36743,EVENT,反賄選陣線聯盟
24234,EVENT,福蝶 生態藝術冬令營
70274,EVENT,七三一高雄石化氣爆
46508,EVENT,馬習會
24699,EVENT,春節送暖歲末關懷活動
104890,EVENT,高雄港聯外高架道路計畫
46486,EVENT,本元里後援會成立大會
104920,EVENT,贈票記者會
70559,EVENT,芋箋傳愛活動
8799,EVENT,西灣飆浪體驗活動
24870,EVENT,運動健身．快樂人生－環山健行趣
2154,EVENT,木蘭女足聯賽
84893,EVENT,七一九全代會
13588,EVENT,八八風災
13583,EVENT,台南大地震
84696,EVENT,福隆國際沙雕藝術季
84629,EVENT,黃合金祭祀公業
84934,EVENT,台灣南社募款餐會
104838,EVENT,第八次抗旱會議
104783,EVENT,鳳山區第七十七期市地重劃工程
13784,EVENT,祝福之舞
13917,EVENT,槌球錦標賽
114833,EVENT,二○一五漆淋彈雨─全國漆彈大作戰
70298,EVENT,七三一氣爆
36725,EVENT,小鎮老戲院的新生命
104671,EVENT,二０一五年亞太大會
24456,EVENT,台灣國際遊艇展
70419,EVENT,高雄地區選戰會報
24475,EVENT,台灣國際遊艇 展
104695,EVENT,二０一六年亞太大會
2344,EVENT,二次世界大戰
85501,EVENT,世界盃巧固球錦標賽
13823,EVENT,○二○六地震
13789,EVENT,印尼峇里島迎賓舞
24634,EVENT,春節送暖歲末 關懷活動
2313,EVENT,全國黨代表大會
37164,EVENT,高雄世運會
90401,EVENT,輕軌票價審議委員會
69654,EVENT,二○一五南區客家美食料理比賽
129349,EVENT,登革熱防治會議
103593,EVENT,朱習會
14507,EVENT,中華書道學會作品聯展
56058,EVENT,高雄市立圖書館總 館
128686,EVENT,高雄電影節
50391,EVENT,阿里關平埔祭典
50392,EVENT,平埔祭典
37449,EVENT,灣利里與喬佑後援會成立大會
37403,EVENT,美濃地區戲院風華系列座談
69311,EVENT,後備軍人運 動大會暨國軍人才招募活動
50397,EVENT,小林平埔夜祭
103715,EVENT,四十四案
87280,EVENT,田寮奇幻月世界活動
69334,EVENT,高雄綠豆椪烘焙大賽
87128,EVENT,三籃球鬥牛賽
128725,EVENT,恆春半島醫療
128773,EVENT,三羊盛台南
69208,EVENT,台北國際食品展
87407,EVENT,彌陀區漁會
22857,EVENT,二二八影展
87698,EVENT,南海和平倡議
3384,EVENT,美麗島事件
115560,EVENT,大魯閣草衙道計畫
50373,EVENT,莫拉克颱風
14580,EVENT,高雄哈客嘉年華會
37504,EVENT,仁武競選總部成立大會
56066,EVENT,白玉蘿蔔季
50378,EVENT,頂荖濃平埔祭典
69029,EVENT,漂亮寶貝
128560,EVENT,伯夷地面高爾夫球協會會員大會
50384,EVENT,平埔夜祭活動
103554,EVENT,九二共識
22960,EVENT,歲末送暖愛心關懷活動
22934,EVENT,台灣好玩卡
87127,EVENT,盃三對三籃球鬥牛賽
128829,EVENT,小林村年糕行銷記者會
69366,EVENT,佛齋僧護國祈福大法會
115171,EVENT,台日友好城市聯合畫展
23421,EVENT,二○一六全國第六十屆和家盃排球錦標賽
16774,EVENT,二○六大地震
86810,EVENT,漁民節
23448,EVENT,和家盃
69526,EVENT,施政報告
23418,EVENT,高雄區農業改良場
129251,EVENT,台中資訊月
59951,EVENT,杜鵑颱風
43485,EVENT,大台南國際旅展
14354,EVENT,高屏地區二二八
14333,EVENT,高雄市二二八和平紀念活動
69559,EVENT,九三大閱兵
86649,EVENT,2015高雄市政府教育局局長盃三對三籃球鬥牛賽
69551,EVENT,九三紀念抗戰
86890,EVENT,川震
104051,EVENT,金爵獎國際調酒賽
69520,EVENT,蔡英文後援會成立大會
43441,EVENT,國際書展暨蔬食博覽會
14462,EVENT,李科永紀念圖書館
43457,EVENT,國際書展和蔬食博覽會
23232,EVENT, 一日農夫體驗趣
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
63681,EVENT,藝術博 覽會
14388,EVENT,林家血案
37307,EVENT,大鵬灣
63670,EVENT,二零一五高雄漾藝術博覽會
63667,EVENT,漾藝術博覽會
23316,EVENT,幸福年菜呷辦桌
86944,EVENT,二0一五高雄市政府教育局局長盃三對三籃球鬥牛賽
37302,EVENT,高雄國際馬拉松
2912,EVENT,一○五年度南區技職博覽會
69649,EVENT,2015南區客家美食料理比賽
13579,EVENT,二二八
47355,EVENT,高雄國際 食品展
4628,EVENT,一○五年南區技職教育博覽會
122239,EVENT,第十六屆第七次中執會
57633,EVENT,全代會
41019,EVENT,五輕
6832,EVENT,大同福樂學堂
94650,EVENT,高雄物產館
18186,EVENT,大林蒲西南瘋音樂祭
122117,EVENT,美麗島高事件
122414,EVENT,南方農業論壇
58685,EVENT,重陽節敬老活動
48021,EVENT,二○一五亞洲人才創新論壇
18235,EVENT,Ｏ二Ｏ六台南震災
5882,EVENT,大 魯閣草衙道
6846,EVENT,全國最大漆彈賽事
6861,EVENT,全國漆彈大賽開幕典禮
122423,EVENT,二○一五高雄燈會藝術節
94536,EVENT,雄興達港全運會鐵人三項熱身賽暨挑戰賽
122114,EVENT,三鳳宮政見會
119857,EVENT,台北市樂旗舞嘉年華
97321,EVENT,夏張會
119870,EVENT,嘉義市國際管樂節
119868,EVENT,桃園國際管樂節
48135,EVENT,臺灣主場最終戰記者會
57847,EVENT,寶來遊客中心
97327,EVENT,四年期國防總檢討
94767,EVENT,九合一選舉
57846,EVENT,南橫比賽
94896,EVENT,台北大巨蛋議約會議
121863,EVENT,二○一五永安天文文化節
57817,EVENT,台南登革熱疫情
17997,EVENT,全國黨員代表大會
122020,EVENT,馬拉松
66592,EVENT,蘇迪勒」颱風
6041,EVENT,第二屆族語單詞競賽活動
97304,EVENT,會員大會
94531,EVENT,卅三競賽
48990,EVENT,三民區疫情
65479,EVENT,五十五週年慶
123275,EVENT,健康風險評估規劃及範疇說明會
57415,EVENT,台北國際書展
93819,EVENT,戀念煉油廠寫生比賽
93812,EVENT,高廠印象之旅水彩畫作聯展
18515,EVENT,祈福會
123269,EVENT,南星計畫遊艇產業園區可行性規劃報告
93487,EVENT,高市府四維行政中心中庭
18602,EVENT,溫馨感謝卡活動
5561,EVENT,跟查理布朗旅行趣
58823,EVENT,海光美展
123598,EVENT,２０１５東京國際食品展
15842,EVENT,波灣食品展
123639,EVENT,南台灣農業聯合展區
6992,EVENT,土銀七十載新春樂舞墨
18312,EVENT,家庭微旅行親子野餐創意秀
41254,EVENT,吉祥物PK戰
15992,EVENT,南台灣強震
122978,EVENT,台灣燈會
122979,EVENT,台灣慶元宵系列活動
18348,EVENT,九二一震災
123024,EVENT,元宵民俗嘉年華會─神采飛羊炸寒單系列活動
16038,EVENT,第二十一屆義工聯合隊慶
123039,EVENT,台北燈節
94039,EVENT,大林蒲遷村案
65570,EVENT,第二屆理監事會
40077,EVENT,徐生明盃全國少棒錦標賽
58772,EVENT,大崗山國際青年商會
49043,EVENT,伊甸基金會
65568,EVENT,萬國風情時裝秀
47887,EVENT,台灣民主變兒戲
119149,EVENT,廢核大遊行
41208,EVENT,仁武後援會成立大會
6065,EVENT,新聞夜總會
6069,EVENT,龍潭現金案
121747,EVENT,高雄八一氣爆
48189,EVENT,二○一八世足資格賽
40892,EVENT,莫拉克颱風災
96143,EVENT,興達港遊艇城開發ＢＯＴ案
6349,EVENT,燕巢區社區公車永續經營公聽會
96060,EVENT,亞洲盃
6333,EVENT,宋江陣頭大賽
96149,EVENT,台北大巨蛋ＢＯＴ
48173,EVENT,世足賽會外賽
6546,EVENT,進擊的校園全國漆彈大作戰
16402,EVENT,高雄燈會藝術節
95890,EVENT,五十屆美展
95888,EVENT,全國決賽
95882,EVENT,三信家商第十二屆廣告設計科教學成果展暨第五十屆三信美展
6272,EVENT,治安會報
40522,EVENT,捍衛食安人權─搶救校園營養午餐大 作戰
6261,EVENT,冠軍爭奪戰
96157,EVENT,台北大巨蛋ＢＯＴ爭議
121072,EVENT,南科減振案
16796,EVENT,台北燈會
16797,EVENT,南投燈會
96566,EVENT,順陽古早茶
96643,EVENT,一０四年度招商大會
40839,EVENT,八八水災
6468,EVENT,仁武學苑兒童肚皮舞
16534,EVENT,高雄燈會
6422,EVENT,小營養午餐整合研討會
16695,EVENT,南台灣大地震
96446,EVENT,公共藝術設置計畫案
66186,EVENT,高雄建商推案
66212,EVENT,大樓案
120790,EVENT,高雄國際遊艇展
16549,EVENT,燈會
6472,EVENT,仁武嘉年華會
95870,EVENT,日本東亞國際公募展
17351,EVENT,玫瑰花節
17359,EVENT,龍舟競賽
121522,EVENT,東京食品展參展
48820,EVENT,馬拉松錦標賽
17728,EVENT,二○一七世大運
17731,EVENT,二 ○○九世界運動會
95438,EVENT,園冶獎
17772,EVENT,中央災害防救會報第三十三次會議
6640,EVENT,台南震災
121543,EVENT,東京國際展
121566,EVENT,港灣燈會
40311,EVENT,蘇迪樂颱風
17842,EVENT,全運會
95397,EVENT,二０一五年建築園冶獎頒獎典禮
121658,EVENT,美濃中庄歷史空間徵求命名活動
6075,EVENT,紅火案
17789,EVENT,行政院災害防救專家諮詢委員會
6633,EVENT,二○一六禪淨共修祈福法會
