,Class,NER
64612,EVENT,一○四全運會
2154,EVENT,木蘭女足聯賽
21058,EVENT,南橫馬拉松活動
99991,EVENT,阿帕契事件
47684,EVENT,世界運動會
14354,EVENT,高屏地區二二八
21052,EVENT,南橫馬拉松賽
79424,EVENT,高雄港都盃全國羽球錦標賽
108390,EVENT,台中捷運工程事件
88870,EVENT,凡那比」 颱風
73564,EVENT,國際港灣城市研討會
88862,EVENT,九一九凡那比號颱風
79406,EVENT,亞太聽障羽球錦標賽
73601,EVENT,百工百業後援會授證大會
79364,EVENT,七三一
88848,EVENT,凡那比
73667,EVENT,第四十一屆模範父親表揚大會
7421,EVENT,全國兒童才藝總決賽
14333,EVENT,高雄市二二八和平紀念活動
73807,EVENT,高市府會議
73816,EVENT,馬來西亞旅展
73817,EVENT,馬國旅展
2313,EVENT,全國黨代表大會
108288,EVENT,世界奧林匹克西洋棋團體錦標賽
79478,EVENT,八仙塵爆
60764,EVENT,台電潛盾工程
47681,EVENT,世界競速溜冰錦標賽
99997,EVENT,台灣國際金屬科技展
73169,EVENT,一○四 年全國運動會
100031,EVENT,KIE國際發明展
104224,EVENT,中央水情會議
21272,EVENT,春節花卉展
21268,EVENT,美術北三路住宅大樓新建工程
79785,EVENT,七三一氣爆事件
100030,EVENT,廣達游於藝」校園藝術巡迴展
86454,EVENT,八仙樂園粉塵暴燃事故
50378,EVENT,頂荖濃平埔祭典
2104,EVENT,大專足球聯賽
35723,EVENT,二零二六亞運
21102,EVENT,馬拉松路跑
108676,EVENT,永安之美攝影比賽
100010,EVENT,第五十五屆高雄市中小學科展
108649,EVENT,屏東國際彩稻藝術節
108644,EVENT,世界運動會開幕式
2124,EVENT,木蘭足球聯賽
73465,EVENT,拉阿魯哇族樂舞
73477,EVENT,貝神祭典
100005,EVENT,高雄展覽館
108593,EVENT,五朝王船醮
108590,EVENT,五朝王船醮法會
108563,EVENT,五朝王船醮王船繞境
21072,EVENT,星光歡迎會
73847,EVENT,馬來西亞國際旅遊展
108267,EVENT,主委盃
40077,EVENT,徐生明盃全國少棒錦標賽
88513,EVENT,布魯塞爾水產品展
108001,EVENT,二○一五南高屏第一次區域治理工作會議
88512,EVENT,中秋海陸生鮮烤肉組
107993,EVENT,國際彩稻藝術節
88511,EVENT,日本東京食品展
88510,EVENT,台北國際食品展覽會
74215,EVENT,星星王子打擊樂團
74225,EVENT,桃芝颱風
50392,EVENT,平埔祭典
43485,EVENT,大台南國際旅展
36867,EVENT,全國中小學科學展覽會
60483,EVENT,二審
54631,EVENT,國際女子棒球邀請賽
74265,EVENT,彌陀民眾服務社第廿二屆社員大會
14292,EVENT,二二八事件
20440,EVENT,70週年慶
2530,EVENT,扁案
36838,EVENT,軍宅案
