,Class,NER
139357,EVENT,龍潭案
4353,EVENT,議會藝術走廊
15474,EVENT,創新荷蘭行動展
4345,EVENT,千里錦繡─棉紙藝術撕畫展
4342,EVENT,千里錦繡-棉紙藝術撕畫展
74783,EVENT,台灣省比賽
96157,EVENT,台北大巨蛋ＢＯＴ爭議
52305,EVENT,國際身心障礙者日
96149,EVENT,台北大巨蛋ＢＯＴ
145616,EVENT,黑挺炎城團結晚會
4200,EVENT,亞太國際教育協會暨教育展
111574,EVENT,高屏溪禽鳥肉毒桿菌素中毒事件應變會議
41971,EVENT,眷村文物展
96060,EVENT,亞洲盃
15415,EVENT,美•山城馬拉松比賽
96143,EVENT,興達港遊艇城開發ＢＯＴ案
24052,EVENT,馬王政爭
74721,EVENT,新北市活躍樂齡國際論壇
4362,EVENT,第一屆海事展
64404,EVENT,世界總決賽
47039,EVENT,高雄客家 文化節─客家有囍婚禮
144860,EVENT,選戰
64440,EVENT,凡那比颱風
144894,EVENT,正修校友團結之夜
64457,EVENT,八仙樂園粉塵爆炸案
111257,EVENT,六里
4391,EVENT,台灣第一屆國際海事展
54950,EVENT,南橫馬拉松
96446,EVENT,公共藝術設置計畫案
64460,EVENT,全國災害救助研討論壇
23964,EVENT,環境影響評估審查委 員會第三十三次會議
4369,EVENT,高雄國際海事船舶展暨國防工業展
64466,EVENT,南台灣登革熱疫情
23989,EVENT,六台灣國際遊艇展
15407,EVENT,全國油畫比賽
145796,EVENT,團結大會
52157,EVENT,屏東縣東港鎮登革熱戰役
24209,EVENT,趙評彩繪衣衫展
129514,EVENT,克萊蒙費鴻影展市場展
61092,EVENT,琅嶠鷹 季－滿州賞鷹博覽會
129510,EVENT,第三十七屆克萊蒙費鴻短片影展
112003,EVENT,　ICLEI世界大會
112016,EVENT,ICLEI世界大會
69311,EVENT,後備軍人運 動大會暨國軍人才招募活動
24634,EVENT,春節送暖歲末 關懷活動
69208,EVENT,台北國際食品展
146705,EVENT,高雄國際動漫展
95438,EVENT,園冶獎
112360,EVENT,七三一石化氣爆案
95397,EVENT,二０一五年建築園冶獎頒獎典禮
3966,EVENT,迎春宴
129349,EVENT,登革熱防治會議
3959,EVENT,頒獎典禮
55112,EVENT,悠郵躍動全國運動城市郵展」主題郵展
96566,EVENT,順陽古早茶
95515,EVENT,捷運綠線工程
47355,EVENT,高雄國際 食品展
24224,EVENT,福蝶生態藝術冬令營
24234,EVENT,福蝶 生態藝術冬令營
95890,EVENT,五十屆美展
95888,EVENT,全國決賽
95882,EVENT,三信家商第十二屆廣告設計科教學成果展暨第五十屆三信美展
74901,EVENT,高屏觀光推廣會
95870,EVENT,日本東亞國際公募展
69366,EVENT,佛齋僧護國祈福大法會
111836,EVENT,新草衙案
95780,EVENT,北汕二路土地徵收案
24456,EVENT,台灣國際遊艇展
55108,EVENT,世運場館
69334,EVENT,高雄綠豆椪烘焙大賽
41834,EVENT,台糖公司土地經濟部工作小組第十六次會議
24475,EVENT,台灣國際遊艇 展
129558,EVENT,農民節大會
64395,EVENT,二０一五新北FUN街頭
96643,EVENT,一０四年度招商大會
64383,EVENT,Marseille Battle Pro
54855,EVENT,兒童寫生繪畫比賽活動
22960,EVENT,歲末送暖愛心關懷活動
42786,EVENT,李長 榮大社廠復工審查會
73913,EVENT,納莉
110707,EVENT,南星計畫遊艇產業園區
110719,EVENT,日展
69654,EVENT,二○一五南區客家美食料理比賽
15992,EVENT,南台灣強震
110733,EVENT,東光展
110757,EVENT,高雄美展
110760,EVENT,台陽美展
69649,EVENT,2015南區客家美食料理比賽
110871,EVENT,高雄市第一屆美術展覽會
110887,EVENT,南部展
110888,EVENT,台灣光復
142527,EVENT,十八
15842,EVENT,波灣食品展
16038,EVENT,第二十一屆義工聯合隊慶
130293,EVENT,諾曼第
142158,EVENT,反抹黑挺炎城團結晚會
73817,EVENT,馬國旅展
98888,EVENT,樂舞青春計畫
22795,EVENT,聯合發放愛 心園遊會
22836,EVENT,五月風暴
22844,EVENT,大賽英雄 台灣新生
4772,EVENT,小澤征 爾音樂祭
22847,EVENT,二二八紀念 音樂會
22848,EVENT,二二八紀念音樂會
73847,EVENT,馬來西亞國際旅遊展
130327,EVENT,抗日戰爭
22857,EVENT,二二八影展
61410,EVENT,二戰
130305,EVENT,終戰
22934,EVENT,台灣好玩卡
4727,EVENT,全國漆彈大作戰第二波戰火
24699,EVENT,春節送暖歲末關懷活動
15838,EVENT,波灣國際食品展
4628,EVENT,一○五年南區技職教育博覽會
97321,EVENT,夏張會
97304,EVENT,會員大會
23418,EVENT,高雄區農業改良場
23421,EVENT,二○一六全國第六十屆和家盃排球錦標賽
42548,EVENT,中國國民黨第十九屆中央委員會第三次全體會議
23448,EVENT,和家盃
111089,EVENT,數位創意中心
74265,EVENT,彌陀民眾服務社第廿二屆社員大會
42526,EVENT,中國國民黨第十九屆中央委員會第三次全 體會議
52487,EVENT,台南登革熱
15630,EVENT,二○一六高雄國際旅展
15628,EVENT,台北國際旅展
52470,EVENT,真愛永恆~銀髮婚頌禮讚
64371,EVENT,新北FUN街頭
64382,EVENT,法國馬賽城街舞大賽
97327,EVENT,四年期國防總檢討
74073,EVENT,二０一五年國際港灣城市 研討會
69520,EVENT,蔡英文後援會成立大會
23316,EVENT,幸福年菜呷辦桌
69559,EVENT,九三大閱兵
52589,EVENT,誠毅紙器工業區
74183,EVENT,真善美慈善饗宴
61276,EVENT,二○一五高雄水展
69551,EVENT,九三紀念抗戰
110974,EVENT,透天建築景觀決選暨消費者人氣獎評選活動
143722,EVENT,寧靜革命
23232,EVENT, 一日農夫體驗趣
143750,EVENT,烏龍事件
69526,EVENT,施政報告
74215,EVENT,星星王子打擊樂團
61265,EVENT,台灣國際 水展
74225,EVENT,桃芝颱風
15793,EVENT,疏伐木ＤＩＹ生活傢俱
144148,EVENT,里長選戰
69522,EVENT,九三
73816,EVENT,馬來西亞旅展
55195,EVENT,11腳競速大對決
64612,EVENT,一○四全運會
115171,EVENT,台日友好城市聯合畫展
48135,EVENT,臺灣主場最終戰記者會
48138,EVENT,世界盃足球賽比賽
128152,EVENT,4G智慧寬頻應用城市計畫高雄市建設藍圖說明會
149835,EVENT,關子嶺之戀
48141,EVENT,世界盃亞洲區會
128194,EVENT,反國道七號大寮自救會
91589,EVENT,大巨蛋園區防災避難安全研討會
2530,EVENT,扁案
27997,EVENT,世運會
48173,EVENT,世足賽會外賽
40437,EVENT,動物也瘋狂─二手玩具交換市集暨分享童樂會
40433,EVENT,動物也瘋狂─二手玩具 交換市集暨分享童樂會
48189,EVENT,二○一八世足資格賽
128129,EVENT,第廿六屆飢餓三十飢餓勇士大會師
40522,EVENT,捍衛食安人權─搶救校園營養午餐大 作戰
75992,EVENT,二○一五世界盃巧固球錦標賽
128224,EVENT,高雄市社會局第十三處托嬰中心
149265,EVENT,農漁水利挺菊後援會成立大會
64874,EVENT,高醫三角戀情情殺命案
149312,EVENT,社區公園音樂會
92443,EVENT,加拿大策展活動
128368,EVENT,花漾派對設計展
92386,EVENT,中華傳統宗教總會成立大會
9069,EVENT,桃園燈會
149599,EVENT,高雄市小組長團結大會
92250,EVENT,龍舟嘉年華盛會
75872,EVENT,愛FUN極限-水域遊憩活動
92189,EVENT,玉荷包啤酒節
75885,EVENT,水域遊憩安全研習營
149789,EVENT,惠急慈善會
60483,EVENT,二審
27653,EVENT,第十五次工作會議
76107,EVENT,高雄氣爆案
9238,EVENT,第十一屆會員代表大會
115560,EVENT,大魯閣草衙道計畫
91429,EVENT,麻里巴農產文化節
151000,EVENT,美麗島站捷運之心攝影比賽
151010,EVENT,大高雄世界搖滾日演唱會
28405,EVENT,高雄市長盃全國美容美髮造型技術競賽
28406,EVENT,台灣高雄市長盃全國美容美髮造型技術競賽大會
90995,EVENT,反國七自救會
2313,EVENT,全國黨代表大會
116030,EVENT,台首大十五週年校慶暨運動大會
128043,EVENT,全國教育盃獨輪車錦標賽
14634,EVENT,太陽花學運
116058,EVENT,十七屆金樽盃國際調酒大賽
68049,EVENT,巴西里約奧運
60079,EVENT,二○一五南方治水論壇
90777,EVENT,高雄玉荷包啤酒節暨高通通藝術展
76329,EVENT,惠州臺灣精品博覽會
116077,EVENT,華－第五Ο屆六堆運動會
40311,EVENT,蘇迪樂颱風
149259,EVENT,大高雄農漁水利挺菊後援會成立大會
150995,EVENT,2014高雄啤酒節
56088,EVENT,二○一六客庄十二大節慶
115571,EVENT,中崙溼地公園水岸營造工程
91409,EVENT,馬拉松路跑比賽
60283,EVENT,日月光污染案
115784,EVENT,九二會議
2403,EVENT,台灣國際扣件展
56058,EVENT,高雄市立圖書館總 館
56066,EVENT,白玉蘿蔔季
60281,EVENT,日月光案
91392,EVENT,跟我一起曬月亮晚會
115816,EVENT,公共托嬰中心
28227,EVENT,典範教師公開授課暨入班觀課
91380,EVENT,麻里巴農產文化節─
68100,EVENT,岡山果菜市場遷建協調會
150951,EVENT,高雄演場會
115868,EVENT,亞太城市會議
2344,EVENT,二次世界大戰
92632,EVENT,紅霞颱風
92663,EVENT,吉祥物大賽
40839,EVENT,八八水災
112912,EVENT,婦幼青少年活動中心
3584,EVENT,臨時案
112979,EVENT,遶境活動
41208,EVENT,仁武後援會成立大會
94536,EVENT,雄興達港全運會鐵人三項熱身賽暨挑戰賽
94531,EVENT,卅三競賽
25656,EVENT,立委選戰
25681,EVENT,三一八學運
113000,EVENT,遶境
25829,EVENT,全國總動員
75267,EVENT,市府第十四次登革熱防治工作協調會會議
68719,EVENT,十一國參賽
113602,EVENT,第八公墓案
64693,EVENT,高雄城市商品ＣＡＤ品牌認證標章徵件活動
8799,EVENT,西灣飆浪體驗活動
41254,EVENT,吉祥物PK戰
148056,EVENT,翁瑞珠團結大會
94650,EVENT,高雄物產館
47684,EVENT,世界運動會
8539,EVENT,台北旅展
24870,EVENT,運動健身．快樂人生－環山健行趣
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
129251,EVENT,台中資訊月
64626,EVENT,英雄齊聚．驚艷高雄
8554,EVENT,高雄旅展
64632,EVENT,全運會賽
69029,EVENT,漂亮寶貝
112751,EVENT,宋江陣決賽
41300,EVENT,城市商旅高雄真愛館
94896,EVENT,台北大巨蛋議約會議
147260,EVENT,ＬＥＤ路燈弊案
94767,EVENT,九合一選舉
47681,EVENT,世界競速溜冰錦標賽
75133,EVENT,智慧城市x市長論壇
112856,EVENT,你愛水˙我節水˙歡慶兒童節
112516,EVENT,三合一照顧工作坊
3384,EVENT,美麗島事件
26324,EVENT,彌陀國中校 舍新建工程
71277,EVENT,天鵝颱風
68454,EVENT,高雄市攝影學會會員作品聯展
149045,EVENT,五甲社區公共設施土地產權說明會
128560,EVENT,伯夷地面高爾夫球協會會員大會
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
40892,EVENT,莫拉克颱風災
92961,EVENT,錄音帶案
68377,EVENT,港都壽山展
92871,EVENT,國民黨第四區黨部慶生會
114833,EVENT,二○一五漆淋彈雨─全國漆彈大作戰
60732,EVENT,大林~高港三四五ＫＶ線潛盾工程
48021,EVENT,二○一五亞洲人才創新論壇
2912,EVENT,一○五年度南區技職博覽會
55844,EVENT,81氣爆事件
93487,EVENT,高市府四維行政中心中庭
128829,EVENT,小林村年糕行銷記者會
128686,EVENT,高雄電影節
60764,EVENT,台電潛盾工程
94039,EVENT,大林蒲遷村案
75400,EVENT,暮光之城
128773,EVENT,三羊盛台南
75497,EVENT,澎湖縣海洋雙星聯合治理會議
148325,EVENT,小棋王盃
148337,EVENT,師王盃
148344,EVENT,全國青少年象棋錦標賽
26559,EVENT,百工百業領袖後援會
128725,EVENT,恆春半島醫療
75564,EVENT,瑪格德堡第二屆歐洲合唱大賽
75566,EVENT,世界合唱大賽
93819,EVENT,戀念煉油廠寫生比賽
93812,EVENT,高廠印象之旅水彩畫作聯展
55554,EVENT,高雄農業故事館
41019,EVENT,五輕
26726,EVENT,三一八太陽花學運
151323,EVENT,越戰
73807,EVENT,高市府會議
22672,EVENT,全國教育局長會議
19499,EVENT,漢神百貨
17842,EVENT,全運會
6992,EVENT,土銀七十載新春樂舞墨
104051,EVENT,金爵獎國際調酒賽
17789,EVENT,行政院災害防救專家諮詢委員會
17772,EVENT,中央災害防救會報第三十三次會議
45745,EVENT,二○一五國際書展暨蔬食博覽會
17731,EVENT,二 ○○九世界運動會
17728,EVENT,二○一七世大運
19649,EVENT,南台大地震
62582,EVENT,兩岸關係與產業發 展
44420,EVENT,高雄客家文化節─田園音樂節活動
19739,EVENT,總統大選
103715,EVENT,四十四案
19603,EVENT,七三一石化氣爆
45726,EVENT,佛陀紀念館書展
104224,EVENT,中央水情會議
107324,EVENT,高雄產業創新交流論壇
136067,EVENT,中評會
19317,EVENT,臺南市○二○六震災罹難者頭七法會
106990,EVENT,南高屏聯合觀光推介會
136125,EVENT,三二一高雄讚起來
6272,EVENT,治安會報
6261,EVENT,冠軍爭奪戰
133807,EVENT,北基場政見說明會
71797,EVENT,點亮台灣•縣政來開講
54001,EVENT,全國運動會開幕典禮
62625,EVENT,兩岸青年創業峰 會
133800,EVENT,十一場政見會
19390,EVENT,土壤液化及老舊建物耐震補強協商會議
45677,EVENT,國際當代海報展
54016,EVENT,二○○九世運
136444,EVENT,異國風情博覽會
62560,EVENT,兩岸青年創業峰會
103593,EVENT,朱習會
44394,EVENT,ＳＡＲＳ疫情
103554,EVENT,九二共識
17410,EVENT,世大運
20230,EVENT,九二一大地震
17376,EVENT,全國漆彈大作戰記者會
17359,EVENT,龍舟競賽
17351,EVENT,玫瑰花節
132765,EVENT,世界大學運動會
132761,EVENT,世運主場館
7293,EVENT,三讀會
63667,EVENT,漾藝術博覽會
44272,EVENT,夢想天使希望工程
132702,EVENT,亮　票案
63670,EVENT,二零一五高雄漾藝術博覽會
20382,EVENT,道教嘉年華會
63681,EVENT,藝術博 覽會
20440,EVENT,70週年慶
20201,EVENT,桃芝風災
19300,EVENT,○二○六震災
20200,EVENT,海燕颱風
20159,EVENT,雅安大地震
17574,EVENT,登革熱疫治會議
19856,EVENT,國際溜冰館
6075,EVENT,紅火案
20024,EVENT,院會
6069,EVENT,龍潭現金案
6065,EVENT,新聞夜總會
20045,EVENT,道教國際學術研討會
20047,EVENT,二０一五宗教生命關懷國際學術研討會
62454,EVENT,二○一五校園佼腳者十人十一腳競速大對決
20063,EVENT,宗教心靈改革 學術研討會
44325,EVENT,世界盃亞洲區資格賽
45839,EVENT,台灣遊艇展
6041,EVENT,第二屆族語單詞競賽活動
20149,EVENT,安祈福大法會
17432,EVENT,世運
20186,EVENT,高雄七三一石化氣爆
70783,EVENT,高雄市客家信仰中心整體風貌改善工程
133908,EVENT,金牌蜜棗評鑑大賽
17997,EVENT,全國黨員代表大會
18700,EVENT,九二一地震
134518,EVENT,九合一大選
53802,EVENT,台北世界大學運動會
18708,EVENT,莫拉克風災
134221,EVENT,中油煉油廠座談會
6832,EVENT,大同福樂學堂
134723,EVENT,高雄市議員
18765,EVENT,二○一六新春文化饗宴
44968,EVENT,仁武區北屋排水整治工程
71497,EVENT,打狗鐵道故事館
18235,EVENT,Ｏ二Ｏ六台南震災
62837,EVENT,高港三四五ＫＶ纜線潛盾工程
53836,EVENT,二 ○○九年世界運動會
134896,EVENT,海角七億洗錢案
6472,EVENT,仁武嘉年華會
18689,EVENT,○二○六震災優先處置事項研商會議
105182,EVENT,四二九搶救哈瑪星哨船頭交通
6546,EVENT,進擊的校園全國漆彈大作戰
18348,EVENT,九二一震災
106135,EVENT,二○一五工業衛生暨環境職業醫學國際研討會
45078,EVENT,第十屆全國心智障礙者 親子運動大會
105865,EVENT,創世福利基金會
106166,EVENT,抗旱會議
6640,EVENT,台南震災
53646,EVENT,臺灣海洋產學策進會
6633,EVENT,二○一六禪淨共修祈福法會
106397,EVENT,臺灣書法學會
106412,EVENT,台灣盃全國書法比賽得獎作品展
