,Class,NER
94767,EVENT,九合一選舉
37164,EVENT,高雄世運會
4200,EVENT,亞太國際教育協會暨教育展
104051,EVENT,金爵獎國際調酒賽
4342,EVENT,千里錦繡-棉紙藝術撕畫展
4345,EVENT,千里錦繡─棉紙藝術撕畫展
4353,EVENT,議會藝術走廊
53646,EVENT,臺灣海洋產學策進會
90230,EVENT,功德法會
4362,EVENT,第一屆海事展
10802,EVENT,東京奧運
36867,EVENT,全國中小學科學展覽會
53802,EVENT,台北世界大學運動會
4369,EVENT,高雄國際海事船舶展暨國防工業展
36838,EVENT,軍宅案
53836,EVENT,二 ○○九年世界運動會
103715,EVENT,四十四案
26726,EVENT,三一八太陽花學運
4391,EVENT,台灣第一屆國際海事展
103593,EVENT,朱習會
36743,EVENT,反賄選陣線聯盟
103554,EVENT,九二共識
10755,EVENT,二Ｏ一六六堆嘉年華活動
54001,EVENT,全國運動會開幕典禮
36725,EVENT,小鎮老戲院的新生命
10744,EVENT,第五十一屆六堆運動會
10741,EVENT,大武山下的小奧運
65570,EVENT,第二屆理監事會
54016,EVENT,二○○九世運
10721,EVENT,六堆運動會
76329,EVENT,惠州臺灣精品博覽會
65568,EVENT,萬國風情時裝秀
19739,EVENT,總統大選
10897,EVENT,百座世運
104838,EVENT,第八次抗旱會議
73817,EVENT,馬國旅展
37504,EVENT,仁武競選總部成立大會
52589,EVENT,誠毅紙器工業區
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
104783,EVENT,鳳山區第七十七期市地重劃工程
89715,EVENT,香港高雄跨國賽
37449,EVENT,灣利里與喬佑後援會成立大會
73847,EVENT,馬來西亞國際旅遊展
66212,EVENT,大樓案
104695,EVENT,二０一六年亞太大會
3959,EVENT,頒獎典禮
3966,EVENT,迎春宴
104671,EVENT,二０一五年亞太大會
37403,EVENT,美濃地區戲院風華系列座談
26324,EVENT,彌陀國中校 舍新建工程
66186,EVENT,高雄建商推案
89830,EVENT,高雄捷運輕軌案
10968,EVENT,國際同濟會二○一六亞太年會
10949,EVENT,二○一六國際遊艇展
37307,EVENT,大鵬灣
53089,EVENT,亞運
37302,EVENT,高雄國際馬拉松
53090,EVENT,金牌
53102,EVENT,全運
53114,EVENT,倫敦奧運
53124,EVENT,區運舉重賽
26559,EVENT,百工百業領袖後援會
104224,EVENT,中央水情會議
18186,EVENT,大林蒲西南瘋音樂祭
52487,EVENT,台南登革熱
90401,EVENT,輕軌票價審議委員會
65381,EVENT,大樹祈福深度遊
54855,EVENT,兒童寫生繪畫比賽活動
35629,EVENT,高雄區原住民大 專青年心靈成長交流會
4840,EVENT,樂活節
102002,EVENT,台北市遠雄巨蛋案
54950,EVENT,南橫馬拉松
35489,EVENT,五里後援會造勢大會
27653,EVENT,第十五次工作會議
101641,EVENT,金鏟子•祝好孕
35465,EVENT,第九屆第二次會員大會
101575,EVENT,中國國際食品飲料展
64466,EVENT,南台灣登革熱疫情
4961,EVENT,那瑪夏賞螢
64460,EVENT,全國災害救助研討論壇
64457,EVENT,八仙樂園粉塵爆炸案
55108,EVENT,世運場館
81899,EVENT,高雄客運
64440,EVENT,凡那比颱風
55112,EVENT,悠郵躍動全國運動城市郵展」主題郵展
64404,EVENT,世界總決賽
10118,EVENT,二０一七年生態交通全球盛典
91380,EVENT,麻里巴農產文化節─
10067,EVENT,東京食品展
64395,EVENT,二０一五新北FUN街頭
10053,EVENT,三一一地震
91392,EVENT,跟我一起曬月亮晚會
55195,EVENT,11腳競速大對決
35276,EVENT,RUN 氣球路跑
91409,EVENT,馬拉松路跑比賽
64383,EVENT,Marseille Battle Pro
4829,EVENT,你愛水 我節水 歡慶兒童節
65479,EVENT,五十五週年慶
64612,EVENT,一○四全運會
54631,EVENT,國際女子棒球邀請賽
73913,EVENT,納莉
36324,EVENT,第十週年校慶
54208,EVENT,台客舞決賽
18235,EVENT,Ｏ二Ｏ六台南震災
79785,EVENT,七三一氣爆事件
54327,EVENT,第九屆立法委員選舉
90742,EVENT,第三屆創意陸上龍舟大賽
36202,EVENT,捍衛食安人權-搶救校園營養午餐大作戰
54336,EVENT,半屏湖濕地生態地景藝術揭幕儀式
4628,EVENT,一○五年南區技職教育博覽會
65191,EVENT,婉君親善大使LINE相會
10618,EVENT,高雄市市長盃扯鈴 暨民俗體育錦標賽
102572,EVENT,環評開發案論壇會場
19649,EVENT,南台大地震
102566,EVENT,旗山尊懷基金會
64874,EVENT,高醫三角戀情情殺命案
90777,EVENT,高雄玉荷包啤酒節暨高通通藝術展
10556,EVENT,太平洋藝術節
102443,EVENT,上海春季食品展
10531,EVENT,拉庫斯溪復興橋上游土石防治二 期工程
102399,EVENT,春季食品展
4727,EVENT,全國漆彈大作戰第二波戰火
64693,EVENT,高雄城市商品ＣＡＤ品牌認證標章徵件活動
10387,EVENT,高雄捷運
4772,EVENT,小澤征 爾音樂祭
64632,EVENT,全運會賽
19603,EVENT,七三一石化氣爆
64626,EVENT,英雄齊聚．驚艷高雄
90995,EVENT,反國七自救會
35723,EVENT,二零二六亞運
101298,EVENT,祈雨法會
52470,EVENT,真愛永恆~銀髮婚頌禮讚
73816,EVENT,馬來西亞旅展
82593,EVENT,二○一五胖胖魚ＦＵＮ暑假棒球夏令營
12117,EVENT,促進日台經濟文化交流青年議員會
12114,EVENT,五年前三一一東日本大震災
50362,EVENT,潭子底及石螺潭排水檢討案
106990,EVENT,南高屏聯合觀光推介會
