,Class,NER
10741,EVENT,大武山下的小奧運
120167,EVENT,舟遊愛河」水域遊憩體驗活動
120165,EVENT,淑女猛男聯誼週
70783,EVENT,高雄市客家信仰中心整體風貌改善工程
5561,EVENT,跟查理布朗旅行趣
119870,EVENT,嘉義市國際管樂節
119868,EVENT,桃園國際管樂節
119857,EVENT,台北市樂旗舞嘉年華
151934,EVENT,高雄輕軌靜態測試典禮
89715,EVENT,香港高雄跨國賽
152136,EVENT,八一石化氣爆民間捐款專戶管理委員會
51091,EVENT,亞太盃國際纜繩滑水錦標賽
89830,EVENT,高雄捷運輕軌案
33835,EVENT,佛光大佛
70559,EVENT,芋箋傳愛活動
51240,EVENT,柏林國際電影節
51245,EVENT,兩岸文化藝術饗宴
51249,EVENT,春晚
120170,EVENT,永浴愛河快樂週
34250,EVENT,高雄市都會南區原住民老 人日間關懷站結業活動
70818,EVENT,高雄市美術展
34307,EVENT,三十週年慶
34678,EVENT,二０一五海峽兩岸道教經典學術研討會
34665,EVENT,SARS
5882,EVENT,大 魯閣草衙道
50391,EVENT,阿里關平埔祭典
50392,EVENT,平埔祭典
50397,EVENT,小林平埔夜祭
121072,EVENT,南科減振案
89125,EVENT,亞太地域市長會議
51270,EVENT,世界特殊奧運會閉幕典禮
150951,EVENT,高雄演場會
151000,EVENT,美麗島站捷運之心攝影比賽
151010,EVENT,大高雄世界搖滾日演唱會
89246,EVENT,龍舟活動
89253,EVENT,冠軍盃
151323,EVENT,越戰
34418,EVENT,宗教生命關懷國際學術研討會
120790,EVENT,高雄國際遊艇展
89296,EVENT,二○一 五港都雄青鬥陣營
150995,EVENT,2014高雄啤酒節
50384,EVENT,平埔夜祭活動
90230,EVENT,功德法會
15407,EVENT,全國油畫比賽
118708,EVENT,德國科隆牙科展
69771,EVENT,亞奧運
90742,EVENT,第三屆創意陸上龍舟大賽
132436,EVENT,長期照護國際論壇
15842,EVENT,波灣食品展
90777,EVENT,高雄玉荷包啤酒節暨高通通藝術展
69697,EVENT,寒軒VS淮安兩岸名廚交流鑑賞會
33336,EVENT,宗教與心靈改革研討會
33327,EVENT,二○一五宗教生命關懷國際學術研討會
4961,EVENT,那瑪夏賞螢
118467,EVENT,幼兒足球錦標賽
118296,EVENT,慶重生
69654,EVENT,二○一五南區客家美食料理比賽
118293,EVENT,七三一石化氣爆事件
69649,EVENT,2015南區客家美食料理比賽
52157,EVENT,屏東縣東港鎮登革熱戰役
33179,EVENT,登革熱疫情
69781,EVENT,亞運會
15793,EVENT,疏伐木ＤＩＹ生活傢俱
118716,EVENT,二０一五德國科隆牙科展
118718,EVENT,二０一五科隆牙科展
70419,EVENT,高雄地區選戰會報
15415,EVENT,美•山城馬拉松比賽
90401,EVENT,輕軌票價審議委員會
70298,EVENT,七三一氣爆
33638,EVENT,廟週年慶
70274,EVENT,七三一高雄石化氣爆
15474,EVENT,創新荷蘭行動展
152795,EVENT,高雄市澎湖同鄉會一○三年會議
119149,EVENT,廢核大遊行
33534,EVENT,一次世界大戰
33528,EVENT,美國獨立革命
70086,EVENT,青年創業座談會
15628,EVENT,台北國際旅展
15630,EVENT,二○一六高雄國際旅展
118739,EVENT,德國斯圖加特螺絲展
118734,EVENT,二０一五斯圖加特螺絲展
118728,EVENT,二０一五德國司徒加特螺絲展
118721,EVENT,二０一六台灣國際扣件展
5222,EVENT,環境議題車體廣告徵選活動
15992,EVENT,南台灣強震
88870,EVENT,凡那比」 颱風
50373,EVENT,莫拉克颱風
49312,EVENT,寶玉里後援會成立大會
49361,EVENT,五甲關帝廟
6349,EVENT,燕巢區社區公車永續經營公聽會
35629,EVENT,高雄區原住民大 專青年心靈成長交流會
88142,EVENT,亞太大學會議
6333,EVENT,宋江陣頭大賽
88160,EVENT,廿五週年校慶
88189,EVENT,光州518事件
123039,EVENT,台北燈節
123024,EVENT,元宵民俗嘉年華會─神采飛羊炸寒單系列活動
6272,EVENT,治安會報
6261,EVENT,冠軍爭奪戰
35489,EVENT,五里後援會造勢大會
122979,EVENT,台灣慶元宵系列活動
122978,EVENT,台灣燈會
35465,EVENT,第九屆第二次會員大會
149045,EVENT,五甲社區公共設施土地產權說明會
123269,EVENT,南星計畫遊艇產業園區可行性規劃報告
148344,EVENT,全國青少年象棋錦標賽
148337,EVENT,師王盃
35723,EVENT,二零二六亞運
124129,EVENT,六堆祈福尖炮城記者會
124037,EVENT,七三一高雄氣爆案
36202,EVENT,捍衛食安人權-搶救校園營養午餐大作戰
6472,EVENT,仁武嘉年華會
6468,EVENT,仁武學苑兒童肚皮舞
87698,EVENT,南海和平倡議
123686,EVENT,　東京食品展
148056,EVENT,翁瑞珠團結大會
49607,EVENT,社子島開發案
72206,EVENT,一百零四年高雄市美術展
87792,EVENT,旗津沙灘渡假旅館開發案
6422,EVENT,小營養午餐整合研討會
123598,EVENT,２０１５東京國際食品展
49255,EVENT,60週年慶
87801,EVENT,蓮潭湖畔休閒旅館開發案
87940,EVENT,暑期青年職場體驗計畫
123275,EVENT,健康風險評估規劃及範疇說明會
148325,EVENT,小棋王盃
123639,EVENT,南台灣農業聯合展區
50378,EVENT,頂荖濃平埔祭典
122423,EVENT,二○一五高雄燈會藝術節
35276,EVENT,RUN 氣球路跑
71755,EVENT,第十四屆第一次港都聯合助學相見歡
121566,EVENT,港灣燈會
88522,EVENT,台北食品展
71735,EVENT,二零一五高雄厝立體綠化國際研討會暨成果展
6041,EVENT,第二屆族語單詞競賽活動
149789,EVENT,惠急慈善會
121543,EVENT,東京國際展
88536,EVENT,北美水產 品展
121522,EVENT,東京食品展參展
34910,EVENT,曹公新圳水系活化親水改造工程
71497,EVENT,打狗鐵道故事館
