,Class,NER
2403,EVENT,台灣國際扣件展
1195,EVENT,二零一六新加坡國際食 品展
3584,EVENT,臨時案
589,EVENT,普度法會
633,EVENT,幸福家庭、兒童嘉年華會
3966,EVENT,迎春宴
2344,EVENT,二次世界大戰
2530,EVENT,扁案
2313,EVENT,全國黨代表大會
3959,EVENT,頒獎典禮
2088,EVENT,木蘭聯賽
2104,EVENT,大專足球聯賽
2154,EVENT,木蘭女足聯賽
2124,EVENT,木蘭足球聯賽
162,EVENT,二次大戰
1018,EVENT,美濃福安菸葉輔導站整建工程
475,EVENT,九州熊本強震
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
3384,EVENT,美麗島事件
2990,EVENT,民進黨第十六屆第一次臨時全國黨代表大會
1476,EVENT,小港沿海六里遷村推動小組
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
406,EVENT,水門案
1521,EVENT,五二０
2912,EVENT,一○五年度南區技職博覽會
367,GPE,台北市
764,GPE,亞洲
2210,GPE,前鎮區
2178,GPE,高雄市前鎮區
2350,GPE,尼泊爾
2260,GPE,獨厚台
2268,GPE,北高勞
2273,GPE,中央
374,GPE,高雄縣市
351,GPE,苗栗縣
397,GPE,美國
660,GPE,彰化縣長
350,GPE,苓雅區
340,GPE,高雄縣
762,GPE,苓雅
2911,GPE,高雄區
2376,GPE,澳地利
635,GPE,田尾鄉
469,GPE,蘇炎城
2914,GPE,雲林
2788,GPE,中國
2722,GPE,哈瑪星
2701,GPE,港都
2696,GPE,西班牙
2686,GPE,內湖
2941,GPE,臺東縣
638,GPE,彰化縣
2473,GPE,台 灣
2140,GPE,南台灣
577,GPE,甲仙區
2950,GPE,臺東
2391,GPE,印度
624,GPE,甲仙道
2387,GPE,路竹阿蓮
2381,GPE,台灣國
2979,GPE,台南市長
561,GPE,甲仙
1560,GPE,屏東縣
849,GPE,旗津
844,GPE,鼓山
1760,GPE,遷村
1246,GPE,苗栗
1745,GPE,南高雄
1727,GPE,小港前鎮
1309,GPE,臺北市
1348,GPE,小港區港
1717,GPE,草衙
1679,GPE,中山
1413,GPE,中芸
1666,GPE,仁武區
1226,GPE,大林
1656,GPE,旗山
1629,GPE, 桃園市
1441,GPE,北高
1614,GPE,雲林縣
1492,GPE,新港
1516,GPE,新北市
1517,GPE,雲林縣長
1524,GPE,新北
1535,GPE,北市
1563,GPE,屏東
1546,GPE,台南縣市
1631,GPE,桃園市
1761,GPE,牛寮
1209,GPE,新加坡
1160,GPE,鳳山區
3221,GPE,園冶
894,GPE,高市
2105,GPE,木蘭足球聯賽
2029,GPE,全國
1000,GPE,美濃區
1986,GPE, By 黃福鎮
1015,GPE,美濃
1963,GPE,東京都
1957,GPE,縣市
1031,GPE,高雄市議
1037,GPE,林園
1040,GPE,大林浦
1041,GPE,楠梓區
1043,GPE,前鎮
1063,GPE,德國魯爾
1066,GPE,大林蒲遷村
1852,GPE,民雄
1081,GPE,大林蒲
1089,GPE,紅毛港遷村
1803,GPE,福興宮
1121,GPE,小港區
1130,GPE,紅毛港
1795,GPE,媽祖
811,GPE,高雄亞洲
334,GPE,鳳山
2366,GPE,日據
3924,GPE,澄清湖
4055,GPE,札幌
26,GPE,臺灣
30,GPE,臺北國
4052,GPE,琉球
77,GPE,中華民國
58,GPE,台南市
34,GPE,高雄
39,GPE,旅德
4039,GPE,東京
3807,GPE, 灣
3424,GPE,俄羅斯
4006,GPE,高雄美
3430,GPE,巴拿馬
3796,GPE,美高
3432,GPE,旅美
3440,GPE,威斯康辛州
4032,GPE,松本市
72,GPE,台中
4025,GPE,大阪
51,GPE,熊本
241,GPE,德國
55,GPE,日本
4030,GPE,長野市
57,GPE,熊本縣
66,GPE,九州熊本縣
198,GPE,高雄左營
4066,GPE,福岡
3822,GPE,南台
271,GPE,高雄市仁武區
80,GPE,台北
3925,GPE,高雄長
157,GPE,越南
8,GPE,高雄市
150,GPE,緬甸
14,GPE,台南
3376,GPE,華盛頓
3389,GPE,堪薩斯市
6,GPE,台灣
3370,GPE,林肯
3349,GPE,加拿大
115,GPE,熊本市
3402,GPE,冰島
133,GPE,熊本縣市
119,GPE,日方
163,GPE,泰國
3246,GPE,凱達格蘭基金
1791,LAW,文資法
2671,LAW,高雄市污水下水道使用管理自治條例
2515,LAW,高雄市污水下水道使用費徵收辦法
1527,LAW,財政收支劃分法
2748,LAW,憲法
2628,LAW,中央修法
2205,LAW,高雄市攤販臨時集中場管理自治條例
107,LAW,高雄市壽山動物園認養辦法
1946,LAW,地方制度法
2385,LAW,台灣國際扣件展
1522,LAW,財政收支劃分 法
3758,LOC,三路
2351,LOC,南洋
1218,LOC,鳳鼻頭地區
1162,LOC,左營區菁華區
1786,LOC,九如陸橋
3768,LOC,大順一路
1196,LOC,東南亞
1200,LOC,亞太
860,LOC,哈瑪星
3754,LOC,中正路
2168,LOC,一德路
2332,LOC,柴半山
1123,LOC,鳳鼻頭
2176,LOC,民權路
775,LOC,成功路
773,LOC,高雄港
817,LOC,高雄港灣
3999,LOC,西岸
834,LOC,哈瑪星地區
2186,LOC,復興路
2338,LOC,高雄柴山
771,LOC,新灣區
754,LOC,海峽兩岸區
741,LOC,歐美
837,LOC,鼓山輪渡站
843,LOC,西子灣
1138,LOC,濱海一路
677,LOC,亞洲
858,LOC,鼓山
1149,LOC,臨海二路
766,LOC,亞洲新灣區
1145,LOC,濱海二路
634,LOC,彰南地區
1243,LOC,金山銀山
1373,LOC,中芸地區
1497,LOC,鳳鼻頭聚落
1344,LOC,仁大工業區
